PTIME,speed_kmh,accel_long,accel_lat,throttle_pct,steering_deg,engine_rpm,brake_active,abs_esc_active,CASEID,VEHNO,crash_class,CRASHTYPE,DVTOTAL,DVLONG,DVLAT,SURFCOND,LIGHTCOND,WEATHER,MODELYR,source_year,event_id,source,is_crash
-1.5,14.973000000000003,0.0,7.771561172376096e-16,3.469446951953614e-18,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.4,8.817825868773618,0.0,-1.5523902439024393,-0.025668155273102053,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.3,6.495621158364829,0.0,-2.069853658536584,-0.04755754036413602,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.2,7.556903513569229,0.0,-1.8111219512195103,-0.05661284781861904,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.1,11.552190579182408,0.0,-1.034926829268294,-0.04377877018206808,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-1.0,18.031999999999996,0.0,-8.881784197001252e-16,0.0,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-0.9,26.546849420817587,0.0,1.0349268292682918,0.083778770182068,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-0.8,36.64725648643077,0.0,1.8111219512195107,0.21661284781861892,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-0.7,47.883738841635186,0.0,2.0698536585365845,0.40755754036413616,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-0.6,59.80681413122639,0.0,1.552390243902438,0.6656681552731021,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-0.5,71.967,0.0,0.0,1.0,,,0.0,,20335,1,3.0,69.0,26.0,-26.0,0.0,1.0,3.0,1.0,2019,2021,CISS_2021_20335_V1,CISS,True
-5.0,116.081,21.0,0.0,0.0,,,2240.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-4.9,105.67220741738238,26.811899690827886,0.0,1.6489178976296766e-05,,,2240.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-4.8,103.05483655650981,29.90919958777053,0.0,2.198557196839574e-05,,,2240.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-4.7,106.14096198694608,30.80054963929921,0.0,1.9237375472346278e-05,,,2240.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-4.6,112.84265827825494,29.994599793885257,0.0,1.0992785984197847e-05,,,2240.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-4.5,121.072,28.0,0.0,3.3881317890172014e-21,,,3072.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-4.4,128.74106172174507,25.325400206114747,0.0,-1.099278598419783e-05,,,3072.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-4.3,133.76191801305393,22.47945036070079,0.0,-1.9237375472346258e-05,,,3072.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-4.2,134.04664344349015,19.97080041222948,0.0,-2.1985571968395715e-05,,,3072.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-4.1,127.50731258261757,18.3081003091721,0.0,-1.648917897629674e-05,,,3072.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-4.0,112.056,18.0,0.0,1.3552527156068805e-20,,,1920.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-3.9,86.98044169563717,19.350499484713158,0.0,2.7481964960494722e-05,,,1920.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-3.8,57.071019391274405,21.84499896942632,0.0,5.4963929920989396e-05,,,1920.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-3.7,28.493776239093144,24.764248711782884,0.0,6.870491240123667e-05,,,1920.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-3.6,7.414755391274481,27.388998969426307,0.0,5.4963929920989356e-05,,,1920.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-3.5,1.0658141036401503e-14,28.999999999999993,0.0,-2.710505431213761e-20,,,0.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-3.4,10.274587495705973,29.072601855032634,0.0,-9.893507385778098e-05,,,0.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-3.3,33.69973242184822,27.86055376159395,0.0,-0.00020061834421161132,,,0.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-3.2,63.59568360013736,25.81220474063896,0.0,-0.00025283407763655095,,,0.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-3.1,93.28268985228443,23.375903813122644,0.0,-0.00020336654070766074,,,0.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-3.0,116.08099999999999,21.0,0.0,0.0,,,2240.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-2.9,127.01604832153903,19.055093095156302,0.0,0.000368258330470629,,,2240.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-2.8,127.93401092133288,17.60078598419787,0.0,0.0007475094469254558,,,2240.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-2.7,122.3862493603573,16.618932325661287,0.0,0.0009426313981449673,,,2240.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-2.6,113.92412519958779,16.091385778083136,0.0,0.0007585022329096537,,,2240.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-2.5,106.09899999999999,15.999999999999996,0.0,0.0,,,1792.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-2.4,101.7520752181381,16.29902576434215,0.0,-0.0013740982480247351,,,1792.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-2.3,100.88391189282036,16.832302301614572,0.0,-0.002789419443490211,,,1792.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-2.2,102.78491095843354,17.416065956715904,0.0,-0.003517691514943318,,,1792.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-2.1,106.74547334936449,17.866553074544832,0.0,-0.002830642390930952,,,1792.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
