CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,PCODE,PTIME,PVALUE,CASEWGT,PSUSTRAT,VERSION
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-4.1000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-4.0000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-3.9000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-3.8000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-3.7000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-3.6000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-3.5000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-3.4000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-3.3000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-3.2000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-3.1000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-3.0000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-2.9000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-2.8000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-2.7000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-2.6000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-2.5000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-2.4000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-2.3000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-2.2000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-2.1000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-2.0000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-1.9000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-1.8000,89.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-1.7000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-1.6000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-1.5000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-1.4000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-1.3000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-1.2000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-1.1000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-1.0000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-0.9000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-0.8000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-0.7000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-0.6000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-0.5000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-0.4000,90.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-0.3000,91.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-0.2000,91.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1010,-0.1000,91.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-5.0000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-5.0000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-5.0000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-5.0000,1327.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-5.0000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-5.0000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-5.0000,-2.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-4.9000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-4.9000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-4.9000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-4.9000,1325.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-4.9000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-4.9000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-4.9000,-1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-4.8000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-4.8000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-4.8000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-4.8000,1322.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-4.8000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-4.8000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-4.8000,0.0000,353.331729164077,9,4
