CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
2402091,16,60,1-16-2024-060-03,3,1,887,887,887,887,887,887,887,887,887,887,54,887,123,90,62,55,887,887,999,999,999,887,887,887,887,887,493.068595429479,5,9
2402091,16,60,1-16-2024-060-03,3,2,999,999,999,999,999,999,999,999,999,999,65,887,159,29,75,887,887,97,999,999,999,887,887,887,887,887,493.068595429479,5,9
2402093,14,33,1-14-2024-033-02,2,1,887,887,999,887,887,887,887,887,887,887,43,887,126,999,999,887,887,887,999,999,109,887,887,887,887,887,73.7387227230028,8,9
2402093,14,33,1-14-2024-033-02,2,2,887,887,270,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,15,11,124,887,887,887,887,887,73.7387227230028,8,9
2402070,69,37,1-69-2024-037-03,3,2,97,887,887,887,887,97,887,887,887,887,40,887,134,999,999,887,887,887,887,887,887,887,887,887,887,887,28.5486297674218,8,9
2402089,16,58,1-16-2024-058-02,2,1,887,887,887,887,887,887,887,887,887,887,58,887,128,82,58,887,887,887,887,887,887,887,887,887,887,887,17.113025437318,5,9
2402095,25,50,1-25-2024-050-04,4,1,887,887,374,887,887,887,887,374,887,887,42,887,131,999,999,887,887,887,887,887,887,887,887,887,887,999,505.35639159941,2,9
2402089,16,58,1-16-2024-058-02,2,2,887,887,887,887,887,887,887,887,887,887,55,887,122,87,55,887,887,887,887,887,887,887,887,887,887,887,17.113025437318,5,9
2402071,69,38,1-69-2024-038-03,3,1,95,887,887,887,887,95,887,887,887,887,32,887,72,999,999,887,887,887,887,887,887,887,887,887,887,887,28.5486297674218,8,9
2402094,14,34,1-14-2024-034-08,8,1,887,887,887,887,887,887,887,887,887,887,57,887,157,999,999,887,887,887,7,3,142,999,45,72,887,887,321.021533575414,8,9
2402072,69,39,1-69-2024-039-10,10,2,100,90,280,110,114,100,90,280,110,114,42,45,126,887,887,42,66,70,887,887,887,887,887,887,887,887,1991.69926730662,8,9
2402099,32,77,1-32-2024-077-04,4,1,887,887,263,887,887,887,887,999,887,887,42,887,130,887,887,887,887,147,14,16,105,887,39,90,887,887,1089.69850207101,7,9
2402104,52,30,1-52-2024-030-06,6,1,887,887,887,887,887,887,887,887,887,887,35,887,139,887,887,887,887,887,887,887,887,887,887,887,887,887,56.6465719357727,12,9
2402098,32,76,1-32-2024-076-02,2,1,887,887,887,887,887,887,887,887,887,887,35,887,121,887,887,887,887,165,887,887,111,887,41,85,887,887,5.84186321476011,7,9
2402098,32,76,1-32-2024-076-02,2,2,887,887,270,887,887,887,887,254,887,887,887,887,127,887,887,887,887,161,10,15,122,887,40,83,887,887,5.84186321476011,7,9
2402104,52,30,1-52-2024-030-06,6,2,887,887,887,887,887,887,887,300,887,887,887,887,887,887,887,887,887,887,9,15,105,887,887,887,887,887,56.6465719357727,12,9
