CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCLASS,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
2400531,22,12,1-22-2024-012-09,9,2,2,1,3,0,12,0,0,80,12FREW01,F,R,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,1,2,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,36.2059290664589,12,9
2400270,10,4,1-10-2024-004-06,6,3,3,3,54,0,12,0,0,888,12FLEW01,F,L,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,2,"Begins 39cm left of center point, extending left",Unknown,Unknown,999,999,999,999,45,999,999,999,999,999,999,999,,,792.161065836576,4,9
2400989,82,24,1-82-2024-024-06,6,1,1,1,2,180,6,0,7,0,06BDEW01,B,D,E,W,01,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,9,1,1,"Begins 77cm left of center point, extending right","Begins 83cm left of center point, extending right",54 cm left of center,165,0,170,0,154,12,1,1,0,1,0,0,,,296.299852754582,1,9
2401043,52,14,1-52-2024-014-03,3,1,1,3,51,0,12,0,0,888,12LDAS02,L,D,A,S,02,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,2,"Begins 26cm rear of rear axle, extending forward",Unknown,258cm Forward of Left rear Axle.,999,999,999,999,328,999,999,999,999,999,999,999,,,140.163579846144,12,9
2401043,52,14,1-52-2024-014-03,3,1,2,3,43,0,12,0,0,888,12FZE901,F,Z,E,9,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,140.163579846144,12,9
2401043,52,14,1-52-2024-014-03,3,1,3,3,59,0,12,0,0,888,12FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,19,-19,0,21930,998,0,19,0,1,"Begins 70cm left of center point, extending right","Begins 70cm left of center point, extending right",65 cm left of center,140,0,150,0,140,25,25,4,2,2,3,3,,,140.163579846144,12,9
2401092,81,24,1-81-2024-024-10,10,2,1,1,1,20,1,0,7,30,01FDAW08,F,D,A,W,08,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,21,2,1,"Begins 60cm left of center point, extending right","Begins 60cm left of center point, extending right",72 cm right of center,120,0,158,0,120,45,0,0,0,8,14,24,,,24230.4540548434,8,9
2401017,24,23,1-24-2024-023-05,5,1,1,1,2,40,1,1,0,315,01FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,1,"Begins 78cm right of center point, extending left",Unknown,78cm right of front center point,999,999,999,999,103,999,999,999,999,999,999,999,,,30.2115379575138,1,9
2400439,13,10,1-13-2024-010-04,4,1,1,3,54,330,11,0,0,888,11LFEW02,L,F,E,W,02,8,8,8,8,888,888,888,10,999,999,999,9999999,999,999,999,6,1,Unknown,Unknown,Left Front,999,999,999,999,999,999,999,999,999,999,999,999,,,1455.25041551642,7,9
2400439,13,10,1-13-2024-010-04,4,1,3,3,54,30,1,0,0,888,01FREE02,F,R,E,E,02,8,8,8,8,888,888,888,10,999,999,999,9999999,999,999,999,6,2,Unknown,Unknown,Front Right Corner,999,999,999,999,999,999,999,999,999,999,999,999,,,1455.25041551642,7,9
2400386,15,12,1-15-2024-012-05,5,1,1,1,2,60,2,1,0,40,02RZEW03,R,Z,E,W,03,0,1,0,0,32,72,0,1,30,-15,-26,50622,998,158,19,0,1,"Begins 62cm rear of rear axle, extending forward","Begins 62cm rear of rear axle, extending forward",90 cm rearward of center,162,-116,162,-116,162,27,8,14,16,27,23,4,,,6.82003949815675,1,9
2400386,15,12,1-15-2024-012-05,5,2,1,1,1,350,12,0,0,290,12FDEW03,F,D,E,W,03,8,8,8,8,888,888,888,1,36,-36,6,159688,998,30,53,0,1,"Begins 62cm right of center point, extending left","Begins 85cm right of center point, extending left",74 cm right of center,170,0,170,0,124,51,7,18,38,44,40,51,,,6.82003949815675,1,9
2400707,31,12,1-31-2024-012-09,9,1,2,4,76,10,12,0,0,888,12RPEN01,R,P,E,N,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,2,Unknown,Unknown,Not Measured,999,999,999,999,999,999,999,999,999,999,999,999,,,161.39423315543,6,9
2401109,18,42,1-18-2024-042-03,3,1,1,1,2,70,2,0,0,270,02RZEW02,R,Z,E,W,02,0,0,1,0,27,58,14,3,9,-3,-8,11298,998,153,9,0,1,"Begins 84cm forward of rear axle, extending rearward","Begins 134cm forward of rear axle, extending rearward",104 cm rearward of center,127,-66,127,-102,98,15,1,15,10,8,3,3,,,34.6070615401308,6,9
2401109,18,42,1-18-2024-042-03,3,1,2,1,3,180,6,0,0,90,06BYEW02,B,Y,E,W,02,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,9,2,"Begins 15cm left of center point, extending left",Unknown,53cm left of center point,999,999,999,999,57,999,999,999,999,999,999,999,,,34.6070615401308,6,9
2400559,62,18,1-62-2024-018-03,3,1,3,3,42,0,12,0,0,888,12FREN01,F,R,E,N,01,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,666.028503256452,7,9
2400559,62,18,1-62-2024-018-03,3,1,5,1,2,0,12,0,0,230,12F99999,F,9,9,9,99,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,666.028503256452,7,9
2400439,13,10,1-13-2024-010-04,4,1,2,3,54,270,9,0,0,888,09LBEN01,L,B,E,N,01,8,8,8,8,888,888,888,10,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,Left Rear,999,999,999,999,999,999,999,999,999,999,999,999,,,1455.25041551642,7,9
2400386,15,12,1-15-2024-012-05,5,1,2,3,63,280,9,0,0,888,09LBEW01,L,B,E,W,01,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,6,8,Unknown,Unknown,unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,6.82003949815675,1,9
2400386,15,12,1-15-2024-012-05,5,1,3,3,58,170,6,0,0,888,06BYEW02,B,Y,E,W,02,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,7,2,Unknown,Unknown,unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,6.82003949815675,1,9
