CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,AGE,HEIGHT,WEIGHT,SEX,FETALMORT,ROLE,RACE,ETHNICITY,EYEWEAR,PARBELTUSE,PARAIRBAG,PARINJSEV,CASEWGT,PSUSTRAT,VERSION
2404169,16,111,1-16-2024-111-NM2,22,1,1,29,999,999,1,8,1,9,9,9,3,2,0,253.20495381158,5,9
2404179,60,59,1-60-2024-059-NM1,21,1,1,56,999,999,1,8,1,1,9,9,3,2,0,43.22330010499,8,9
2404182,77,135,1-77-2024-135-NM2,22,1,1,65,999,999,2,8,1,9,9,9,3,2,0,829.004115071482,9,9
2404218,24,120,1-24-2024-120-NM2,22,1,1,25,999,999,2,8,1,3,2,9,3,7,0,253.744000679976,1,9
2404089,33,76,1-33-2024-076-NM2,22,1,1,999,178,120,2,8,1,1,9,9,3,2,0,228.732430580773,12,9
2404089,33,76,1-33-2024-076-NM2,22,2,1,17,178,69,1,8,1,1,9,9,3,2,0,228.732430580773,12,9
2404267,15,171,1-15-2024-171-NM2,22,1,1,21,999,999,1,8,1,9,9,9,3,7,0,27.5756522213656,1,9
2404354,12,79,1-12-2024-079-NM2,22,1,1,71,178,77,1,8,1,1,2,0,3,0,0,719.957760795501,9,9
2404371,22,130,1-22-2024-130-NM2,22,1,1,29,999,999,1,8,1,7,2,9,3,2,0,24.4305122731702,12,9
2404463,14,82,1-14-2024-082-NM2,22,1,1,26,165,68,1,8,1,1,1,0,3,2,0,398.655902879135,8,9
2404477,27,140,1-27-2024-140-NM2,22,1,1,17,160,107,2,8,1,1,2,0,3,2,0,26.6993316813968,3,9
2404482,82,121,1-82-2024-121-NM2,22,1,1,41,999,999,2,8,1,9,9,9,9,2,0,375.053029592921,1,9
2404502,31,95,1-31-2024-095-NM2,22,1,1,36,999,999,2,8,1,1,9,9,3,2,0,343.437603726452,6,9
2404542,10,84,1-10-2024-084-NM2,22,1,1,26,999,999,1,8,1,9,9,9,3,2,0,303.372657865986,4,9
2404586,25,121,1-25-2024-121-NM2,22,1,1,62,999,999,2,8,1,9,9,9,3,2,0,117.391789482128,2,9
2404587,25,122,1-25-2024-122-NM2,22,1,1,43,999,999,2,8,1,9,9,9,3,2,0,117.391789482128,2,9
2404650,82,126,1-82-2024-126-NM2,22,1,1,34,999,999,2,8,1,9,9,9,3,2,0,272.240647923415,1,9
2404755,22,143,1-22-2024-143-NM2,22,1,1,42,999,999,1,8,1,9,9,9,8,2,0,85.2845477308788,12,9
2404764,33,92,1-33-2024-092-NM2,22,1,1,19,196,129,1,8,1,1,9,9,0,7,0,355.828360472917,12,9
2404707,11,143,1-11-2024-143-NM2,22,1,1,16,999,999,2,8,1,9,9,9,3,2,0,2037.79059287364,8,9
2404816,30,163,1-30-2024-163-NM2,22,1,1,53,999,999,1,8,1,9,9,9,3,2,0,814.767720332015,10,9
2404825,24,135,1-24-2024-135-NM2,22,1,1,20,178,91,1,8,1,1,1,0,3,2,0,43.9956216097119,1,9
2404886,22,148,1-22-2024-148-NM2,22,1,1,20,183,77,1,8,1,1,2,0,3,2,0,35.1496027167127,12,9
2404887,17,158,1-17-2024-158-NM2,22,1,1,53,999,999,2,8,1,1,9,9,3,0,0,62.2469031035836,4,9
2404890,30,167,1-30-2024-167-NM2,22,1,1,40,999,999,1,8,1,9,9,9,3,2,0,814.767720370494,10,9
2404569,18,121,1-18-2024-121-NM2,22,1,1,62,999,999,1,8,1,1,9,9,8,2,0,142.413843051628,6,9
2402090,16,59,1-16-2024-059-NM1,21,1,1,30,999,999,1,8,1,9,9,9,8,9,0,19.3635256654646,5,9
2402114,22,63,1-22-2024-063-NM2,22,1,1,20,999,999,1,8,1,9,9,9,3,2,0,82.628551642103,12,9
2402124,28,61,1-28-2024-061-NM2,22,1,1,69,163,58,2,8,1,1,2,9,0,2,0,37.9334438090452,3,9
2402106,82,48,1-82-2024-048-NM2,22,1,1,33,999,999,2,8,1,9,9,9,3,2,0,217.855164636431,1,9
2402153,81,44,1-81-2024-044-NM2,22,1,1,999,999,999,1,8,1,9,9,9,9,7,9,2513.96756463306,8,9
2402168,48,72,1-48-2024-072-NM2,22,1,1,30,157,102,2,8,1,1,2,1,3,7,0,76.3842355060005,12,9
2402195,79,44,1-79-2024-044-NM2,22,1,1,56,188,96,1,8,1,2,9,0,3,2,0,110.555038236303,8,9
2402210,25,53,1-25-2024-053-NM2,22,1,1,56,999,999,2,8,1,9,9,9,3,2,0,202.399293704263,2,9
2402228,27,70,1-27-2024-070-NM2,22,1,1,34,168,86,2,8,1,1,2,1,3,2,0,30.6673615919684,3,9
2402260,26,63,1-26-2024-063-NM2,22,1,1,70,173,86,1,8,1,1,9,9,3,2,0,962.578555188656,10,9
2402243,15,87,1-15-2024-087-NM2,22,1,1,82,999,999,1,8,1,9,9,9,3,7,0,35.7446223566179,1,9
2402267,31,43,1-31-2024-043-NM2,22,1,1,27,999,999,1,8,1,9,9,9,3,2,0,197.377933176122,6,9
2402288,81,46,1-81-2024-046-NM2,22,1,1,26,183,75,1,8,1,2,2,0,3,2,0,2408.08347527868,8,9
2402379,26,68,1-26-2024-068-NM2,22,1,1,35,180,68,1,8,1,7,2,1,3,2,0,401.065954850307,10,9
2402381,27,75,1-27-2024-075-NM2,22,1,1,35,999,999,2,8,1,9,9,9,3,2,0,58.8273813617497,3,9
2402377,15,93,1-15-2024-093-NM2,22,1,1,40,999,999,2,8,1,9,9,9,3,7,0,172.627983004139,1,9
2402376,15,92,1-15-2024-092-NM2,22,1,1,65,170,70,2,8,1,2,2,0,3,7,0,172.627983004139,1,9
2402434,30,83,1-30-2024-083-NM2,22,1,1,24,183,66,1,8,1,1,1,0,3,7,0,361.666104097377,10,9
2402515,22,71,1-22-2024-071-NM2,22,1,1,21,160,111,2,8,1,1,2,0,3,2,0,85.2845477308788,12,9
2402589,33,42,1-33-2024-042-NM2,22,1,1,999,999,999,9,8,1,9,9,9,8,9,9,361.093515754961,12,9
2402620,31,52,1-31-2024-052-NM2,22,1,1,83,163,65,2,8,1,1,2,1,3,2,0,197.377933176122,6,9
2402625,21,52,1-21-2024-052-NM2,22,1,1,56,185,82,1,8,1,9,1,9,3,2,0,1946.80039165077,11,9
2402593,57,54,1-57-2024-054-NM2,22,1,1,35,999,999,2,8,1,9,9,9,3,2,0,570.311860030331,1,9
2402661,10,39,1-10-2024-039-NM2,22,1,1,80,999,999,1,8,1,9,9,9,3,2,0,340.440602144735,4,9
2402702,20,77,1-20-2024-077-NM2,22,1,1,68,165,77,1,8,1,1,1,0,3,0,0,87.941289186377,11,9
2402696,17,89,1-17-2024-089-NM2,22,1,1,52,999,999,2,8,1,1,9,9,3,2,0,75.2169154133713,4,9
2402754,26,79,1-26-2024-079-NM2,22,1,1,37,168,65,2,8,1,1,2,0,3,2,0,1030.55932741376,10,9
2402767,27,90,1-27-2024-090-NM2,22,1,1,41,163,70,1,8,1,3,2,9,3,2,0,33.2945661482558,3,9
