CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,AGE,HEIGHT,WEIGHT,SEX,FETALMORT,ROLE,RACE,ETHNICITY,EYEWEAR,PARBELTUSE,PARAIRBAG,PARINJSEV,CASEWGT,PSUSTRAT,VERSION
2403432,62,93,1-62-2024-093-NM2,22,2,1,999,999,999,9,8,1,9,9,9,8,9,5,1033.17136515517,7,9
2403509,82,89,1-82-2024-089-NM2,22,1,1,81,999,999,1,8,1,9,9,9,3,2,0,184.00474438731,1,9
2403576,30,126,1-30-2024-126-NM2,22,1,1,999,999,999,9,8,1,9,9,9,9,7,0,516.81832296578,10,9
2403628,26,103,1-26-2024-103-NM2,22,1,1,24,160,54,2,8,1,9,1,9,3,2,0,471.653968173224,10,9
2403627,26,102,1-26-2024-102-NM2,22,1,1,24,188,79,1,8,1,1,9,9,3,2,0,471.653968173224,10,9
2403641,29,39,1-29-2024-039-NM2,22,1,1,18,999,999,1,8,1,1,9,9,3,2,0,381.081668154122,2,9
2403644,21,77,1-21-2024-077-NM2,22,1,1,48,155,77,2,8,1,9,9,9,3,2,0,1397.14293235216,11,9
2403660,10,59,1-10-2024-059-NM2,22,1,1,36,999,999,1,8,1,9,9,9,3,2,0,271.413807736263,4,9
2403715,25,97,1-25-2024-097-NM2,22,1,1,75,999,999,1,8,1,1,9,9,3,2,0,209.921679437629,2,9
2403048,10,45,1-10-2024-045-NM2,22,1,1,999,999,999,9,8,1,9,9,9,8,9,9,461.067694088124,4,9
2403877,17,122,1-17-2024-122-NM2,22,1,1,18,173,84,1,8,1,1,1,0,3,2,0,97.286021862156,4,9
2403963,18,109,1-18-2024-109-NM2,22,1,1,20,999,999,1,8,1,1,9,9,3,2,0,178.115957125676,6,9
2403980,66,81,1-66-2024-081-NM2,22,1,1,999,999,999,9,8,1,9,9,9,8,9,0,110.074249285118,6,9
2404029,82,106,1-82-2024-106-NM2,22,1,1,54,168,100,2,8,1,1,1,0,3,2,0,313.918669121444,1,9
2404042,29,53,1-29-2024-053-NM2,22,1,1,58,999,999,2,8,1,9,9,9,8,2,0,480.123684005821,2,9
2404051,59,121,1-59-2024-121-NM2,22,1,1,56,177,118,1,8,1,1,2,1,1,7,0,778.982106600467,6,9
2404064,73,113,1-73-2024-113-NM2,22,1,1,78,999,999,1,8,1,9,9,9,3,2,0,537.853972469241,3,9
2404084,69,91,1-69-2024-091-NM2,22,1,1,16,999,999,1,8,1,1,9,9,8,2,0,98.6054556454264,8,9
2404902,57,145,1-57-2024-145-NM2,22,1,1,999,999,999,1,8,1,9,9,9,9,7,0,184.840196410829,1,9
2404933,33,96,1-33-2024-096-NM2,22,1,1,17,173,59,1,8,1,1,9,9,3,2,0,151.096542186302,12,9
2404943,24,137,1-24-2024-137-NM2,22,1,1,65,168,999,2,8,1,1,2,0,3,2,0,103.775968566411,1,9
2405007,30,171,1-30-2024-171-NM2,22,1,1,43,999,999,2,8,1,9,9,9,3,2,0,699.896518115335,10,9
2405009,30,172,1-30-2024-172-NM2,22,1,1,18,999,999,2,8,1,9,9,9,3,2,0,699.896518145871,10,9
2404652,30,158,1-30-2024-158-NM2,22,1,1,81,999,999,1,8,1,9,9,9,3,2,0,415.467981801604,10,9
2405111,15,197,1-15-2024-197-NM2,22,1,1,17,999,999,2,8,1,9,9,9,3,7,0,69.3276767334112,1,9
2405105,27,160,1-27-2024-160-NM2,22,1,1,66,165,61,1,8,1,1,2,0,8,2,0,35.0197990149152,3,9
2405106,27,161,1-27-2024-161-NM2,22,1,1,33,999,999,1,8,1,9,9,0,3,2,0,35.0197990231484,3,9
2405121,22,155,1-22-2024-155-NM2,22,1,1,30,168,110,2,8,1,1,2,0,3,2,0,64.1408737687855,12,9
2405120,22,154,1-22-2024-154-NM2,22,1,1,38,999,999,2,8,1,9,9,9,3,2,0,64.1408737687855,12,9
2405042,18,126,1-18-2024-126-NM2,22,1,1,54,999,999,1,8,1,1,2,0,3,2,0,352.555780341459,6,9
2405218,28,164,1-28-2024-164-NM2,22,1,1,29,180,79,1,8,1,1,2,0,3,0,0,142.962485684357,3,9
2405234,26,120,1-26-2024-120-NM2,22,1,1,49,183,98,1,8,1,1,9,9,3,2,0,2513.96756463306,10,9
2405228,82,149,1-82-2024-149-NM2,22,1,1,72,999,999,2,8,1,9,9,9,3,2,0,530.041651146454,1,9
2405238,22,161,1-22-2024-161-NM2,22,1,1,34,999,999,1,8,1,9,9,9,3,7,0,45.2877985053891,12,9
2405242,17,171,1-17-2024-171-NM2,22,1,1,60,178,73,1,8,1,1,2,0,3,2,0,85.8489914277837,4,9
2405266,59,155,1-59-2024-155-NM2,22,1,1,71,172,109,1,8,1,1,2,0,8,9,0,265.224171982023,6,9
2405303,30,179,1-30-2024-179-NM2,22,1,1,45,999,999,2,8,1,9,9,9,3,2,0,503.501583789456,10,9
