CASEID,PSU,CASENO,CASENUMBER,CATEGORY,JKWGT1,JKWGT2,JKWGT3,JKWGT4,JKWGT5,JKWGT6,JKWGT7,JKWGT8,JKWGT9,JKWGT10,JKWGT11,JKWGT12,JKWGT13,JKWGT14,JKWGT15,JKWGT16,JKWGT17,JKWGT18,JKWGT19,JKWGT20,JKWGT21,JKWGT22,JKWGT23,JKWGT24,JKWGT25,JKWGT26,JKWGT27,JKWGT28,JKWGT29,JKWGT30,JKWGT31,JKWGT32,JKWGT33,JKWGT34,JKWGT35,JKWGT36,JKWGT37,JKWGT38,JKWGT39,JKWGT40,CASEWGT,PSUSTRAT,VERSION
2401048,76,28,1-76-2024-028-04,4,86.454204398,86.489411115,86.455321154,86.48811762,86.455091785,86.486973024,174.75817445,0,86.508715002,86.434168646,86.481645376,86.461317263,86.516883968,86.430775661,84.517315664,88.518160438,89.240405764,83.869302458,87.2026032,85.55672014,86.484950474,86.458298314,86.495153097,86.448878031,86.474658084,86.468209941,86.51309671,86.433580968,86.837136703,86.108840241,83.324557013,89.865328935,86.500976658,86.443667869,86.46779906,86.475080933,87.66148287,85.31330013,86.527213499,86.415784497,86.4714255045695,3,9
2401744,59,54,1-59-2024-054-09,9,543.72578582,544.39726143,544.44747167,543.67447598,542.61622956,545.58324275,548.07002863,540.05815372,550.07431548,537.92988195,542.43018694,545.81016503,544.85571137,543.2855316,1095.7854084,0,558.97923121,529.89348106,545.09750348,542.94715181,541.18205861,546.1921635,545.24435452,542.95711042,540.89116739,547.90217616,544.29042847,543.84005502,569.05374616,522.5531812,435.67367907,820.22608834,575.20128691,514.08663301,542.941212,545.22688705,578.08150827,510.36509618,536.86992943,551.80771732,544.058692708323,6,9
2400624,25,14,1-25-2024-014-05,5,38.170532995,40.533024524,39.146580916,39.572051029,0,79.114613366,39.358166151,39.358166151,39.358166151,39.358166151,40.217500857,38.483952304,39.644516076,39.053152778,39.358166151,39.358166151,39.358166151,39.358166151,34.092628172,46.135530076,39.993147737,38.742782455,40.200583606,38.544818676,37.241743428,41.924930547,40.4935878,38.223500909,39.358166151,39.358166151,39.358166151,39.358166151,39.062418977,39.658425777,39.483380422,39.233743557,39.358166151,39.358166151,39.358166151,39.358166151,39.3581661506128,2,9
2400625,60,9,1-60-2024-009-NM1,21,138.7436684,142.36092369,139.78431581,141.30358128,138.23084818,142.56967842,140.53984277,140.53984277,140.53984277,140.53984277,138.96346447,142.31853197,153.12755733,130.73908507,140.53984277,140.53984277,140.53984277,140.53984277,130.54177327,151.51514813,164.94212689,124.56440603,146.14485481,135.5721627,138.47286465,143.39440159,0,272.53196389,140.53984277,140.53984277,140.53984277,140.53984277,139.483791,141.61200758,140.98695695,140.09555551,140.53984277,140.53984277,140.53984277,140.53984277,140.53984277194,8,9
2406174,25,173,1-25-2024-173-05,5,48.378150175,51.372422484,49.615214193,50.154464117,0,100.27155363,49.883381846,49.883381846,49.883381846,49.883381846,50.972521038,48.775384513,50.246307868,49.496801372,49.883381846,49.883381846,49.883381846,49.883381846,43.209726356,58.473157886,50.688171093,49.103431383,50.951079752,48.852527855,47.200982406,53.136553958,51.322439536,48.445282842,49.883381846,49.883381846,49.883381846,49.883381846,49.50854555,50.263937321,50.042081092,49.725685989,49.883381846,49.883381846,49.883381846,49.883381846,49.8833818457308,2,9
2406175,16,130,1-16-2024-130-02,2,53.965112949,59.606874076,56.486625428,57.10055825,54.126237532,59.300279151,56.791932701,56.791932701,56.791932701,56.791932701,57.876246133,55.687570322,0,107.30464986,56.791932701,56.791932701,56.791932701,56.791932701,50.501454302,65.257019077,56.935346461,56.643916752,58.768581357,54.974989657,56.996043345,56.580468803,58.912610114,54.759485963,56.791932701,56.791932701,56.791932701,56.791932701,56.365183815,57.22519284,56.972610846,56.612396909,56.791932701,56.791932701,56.791932701,56.791932701,56.791932701426,5,9
2402260,26,63,1-26-2024-063-NM2,22,952.53867196,973.38020293,956.73249293,968.50659643,961.77261044,963.34075624,962.6329235,962.52543049,962.83529528,962.32458784,959.67492217,965.66013088,949.84205411,975.8235369,962.20713732,962.97337088,962.64738577,962.51402152,925.75482194,1002.9536407,972.00300605,953.35871569,992.15492436,936.28928845,987.29264813,933.66169847,973.17498564,952.20842713,962.60207128,962.5552549,961.74328234,963.51106762,1962.6695404,0,972.25718756,952.73453583,963.10772589,962.07394376,963.19612897,961.97642436,962.578555188656,10,9
2402262,15,90,1-15-2024-090-03,3,0,30.814411484,15.055529746,15.227651645,15.086143783,15.191689317,15.139839006,15.142223089,15.139715379,15.142445533,15.127846147,15.153864998,14.206423683,16.211900916,15.139436954,15.142681825,15.157029804,15.126651609,16.1245776,14.104989022,15.49600024,14.812438749,15.750239181,14.588149398,15.700168253,14.578776788,15.638352576,14.68638294,15.146090577,15.136178617,15.321852705,14.846207975,15.036248692,15.247751657,15.176691622,15.106320453,15.145421118,15.136511542,15.140553912,15.141556858,15.1410745762649,1,9
2406183,32,159,1-32-2024-159-02,2,31.998403835,35.343664152,33.493524852,33.857553931,32.09394203,35.161869884,33.674555613,33.674555613,33.674555613,33.674555613,34.317495045,33.019728235,35.482570574,31.812937396,33.674555613,33.674555613,33.674555613,33.674555613,29.944640912,38.693895656,0,67.173580262,34.846601746,32.597206301,33.795582225,33.549168917,34.932003036,32.469424224,33.674555613,33.674555613,33.674555613,33.674555613,33.42151652,33.931455527,33.781688016,33.568100563,33.674555613,33.674555613,33.674555613,33.674555613,33.6745556127473,7,9
2406185,73,153,1-73-2024-153-01,1,29.604594739,29.604594739,29.604594739,29.604594739,29.604594739,29.604594739,29.938604707,29.278106059,59.878324261,0,29.604594739,29.604594739,29.604594739,29.604594739,29.037700527,30.204063687,30.16542582,29.102842837,29.604594739,29.604594739,29.604594739,29.604594739,29.604594739,29.604594739,29.604594739,29.604594739,29.604594739,29.604594739,29.031649076,30.16790789,27.732805199,31.976462935,29.604594739,29.604594739,29.604594739,29.604594739,30.334958977,28.893877411,29.99392892,29.213342285,29.6045947385831,3,9
2402263,15,91,1-15-2024-091-09,9,0,332.79743958,163.28155803,164.82186306,160.46949757,167.48684418,164.08960337,164.00416299,164.03082886,164.06167532,162.04738129,166.28003578,165.28155186,163.06088803,164.07577015,164.01742316,164.23154255,163.87219482,147.86921333,183.18865128,189.79036861,145.03454297,171.38948438,157.44743809,150.32287847,184.82721289,159.61076389,168.66467028,164.49492462,163.65034545,167.15729667,158.33508137,172.13385569,156.19211175,164.23074018,163.87938566,164.24707875,163.84090141,163.86756191,164.23508505,164.04686010137,1,9
2402265,73,67,1-73-2024-067-03,3,23.573412592,23.603395763,23.581635781,23.594788858,23.567759833,23.609487237,23.670985585,23.501418734,46.960918572,0,23.574987298,23.601769543,23.891648849,23.267255597,23.488330228,23.684115264,24.870998335,22.426092702,23.594961977,23.581167665,23.606733148,23.570847011,23.602715095,23.574912522,23.577979482,23.598517982,23.60561125,23.572041365,23.695236117,23.482181959,18.841635278,32.51689609,23.602178411,23.574476718,23.568638984,23.608623528,24.269041292,22.905414749,23.695341027,23.477874411,23.5881329232141,3,9
2402267,31,43,1-31-2024-043-NM2,22,196.66410966,198.21853179,197.23952915,197.52009796,197.04671599,197.70045125,200.35364038,194.50149381,191.37250288,203.37155313,196.99958072,197.79141938,197.69171064,197.08840009,0,415.05853907,202.9494734,192.08984841,197.75833484,197.06436072,197.2959025,197.46327842,198.6654488,196.49545292,201.12365795,192.69861754,197.38232896,197.37322358,194.53042679,200.28559034,202.88908155,189.16487879,202.74741359,192.65845494,198.7303072,195.97895111,199.08126968,195.77711556,200.88979855,194.41063938,197.377933176122,6,9
2406191,52,61,1-52-2024-061-06,6,252.85774476,252.85774476,252.85774476,252.85774476,252.85774476,252.85774476,259.7576144,246.38404147,248.16714453,257.74746841,252.85774476,252.85774476,252.85774476,252.85774476,247.30824322,258.6562682,262.65091149,243.8464707,252.85774476,252.85774476,252.85774476,252.85774476,252.85774476,252.85774476,252.85774476,252.85774476,252.85774476,252.85774476,251.9347552,253.64395103,256.84254553,246.12261085,252.85774476,252.85774476,252.85774476,252.85774476,526.13978243,0,239.06615332,269.75845965,252.857744755917,12,9
