CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTACTAREA,CONTCOMP,NMNO,LONGLOC,LATLOC,CRUSH,BOTTOMOUT,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
2400815,23,13,1-23-2024-013-NM1,21,2,A,4,760,1,999,999,0,0,601,9,2,75.3524398717664,5,9
2401788,69,33,1-69-2024-033-NM1,21,1,A,1,701,1,23,50,3,0,871,2,2,7.66811372485411,8,9
2401788,69,33,1-69-2024-033-NM1,21,1,B,1,700,1,57,43,0,0,851,2,2,7.66811372485411,8,9
2401755,81,34,1-81-2024-034-NM1,21,1,A,1,703,1,105,-108,1,0,812,5,3,46.909790827141,8,9
2401755,81,34,1-81-2024-034-NM1,21,1,B,6,775,1,235,-125,999,8,101,96,2,46.909790827141,8,9
2401755,81,34,1-81-2024-034-NM1,21,1,C,6,784,1,279,-94,1,0,999,5,2,46.909790827141,8,9
2401750,57,33,1-57-2024-033-NM1,21,1,A,1,701,1,50,-157,999,1,852,2,2,38.5305215581579,1,9
2401750,57,33,1-57-2024-033-NM1,21,1,B,1,700,1,70,-157,999,1,842,5,2,38.5305215581579,1,9
2401750,57,33,1-57-2024-033-NM1,21,1,C,1,706,1,98,-167,999,0,812,2,2,38.5305215581579,1,9
2401750,57,33,1-57-2024-033-NM1,21,1,D,1,703,1,125,-167,3,1,812,5,2,38.5305215581579,1,9
2401750,57,33,1-57-2024-033-NM1,21,1,E,2,720,1,145,-194,10,0,712,5,3,38.5305215581579,1,9
2401750,57,33,1-57-2024-033-NM1,21,1,F,2,733,1,270,-194,888,0,712,5,2,38.5305215581579,1,9
2401042,52,13,1-52-2024-013-NM1,21,1,F,10,61,1,888,888,888,8,999,98,1,20.9023614233441,12,9
2400884,14,13,1-14-2024-013-NM2,22,1,A,10,61,1,888,888,888,8,999,98,1,678.185114701579,8,9
2400581,30,18,1-30-2024-018-NM1,21,1,H,10,61,1,888,888,888,8,601,98,1,28.3509494483113,10,9
2401790,81,35,1-81-2024-035-NM1,21,1,A,2,720,1,999,999,999,0,999,5,2,46.909790827141,8,9
2401790,81,35,1-81-2024-035-NM1,21,1,B,2,720,1,999,999,999,0,999,1,3,46.909790827141,8,9
2401790,81,35,1-81-2024-035-NM1,21,1,C,2,720,1,999,999,999,0,999,3,2,46.909790827141,8,9
2401718,21,32,1-21-2024-032-NM2,22,1,A,3,753,1,999,999,999,8,201,5,1,2513.96756463306,11,9
2400048,60,1,1-60-2024-001-NM2,22,1,A,7,791,1,999,999,0,8,871,3,2,157.912873387776,8,9
2400048,60,1,1-60-2024-001-NM2,22,1,B,10,61,1,888,888,888,8,871,98,3,157.912873387776,8,9
2400693,77,22,1-77-2024-022-NM2,22,1,G,10,61,1,888,888,888,8,999,98,1,426.24158292944,9,9
2400729,32,21,1-32-2024-021-NM1,21,1,C,6,775,1,255,60,20,8,101,2,1,10.924164677076,7,9
2401027,16,33,1-16-2024-033-NM2,22,1,A,1,701,1,42,30,0,0,841,3,2,439.019791611487,5,9
2400847,82,23,1-82-2024-023-NM2,22,1,A,4,769,1,999,999,999,9,841,98,3,774.715121490359,1,9
2400847,82,23,1-82-2024-023-NM2,22,1,B,10,61,1,888,888,888,8,712,98,3,774.715121490359,1,9
2400677,11,17,1-11-2024-017-NM1,21,1,K,10,61,1,999,888,888,8,999,98,1,37.1071357763572,8,9
2401339,59,43,1-59-2024-043-NM2,22,1,A,2,733,1,888,888,888,0,812,98,1,260.431399312795,6,9
2401339,59,43,1-59-2024-043-NM2,22,1,B,2,730,1,888,888,0,0,852,9,2,260.431399312795,6,9
2401339,59,43,1-59-2024-043-NM2,22,1,C,2,720,1,888,888,0,0,842,9,2,260.431399312795,6,9
2401339,59,43,1-59-2024-043-NM2,22,1,D,10,61,1,888,888,888,8,999,98,2,260.431399312795,6,9
2401844,26,46,1-26-2024-046-NM1,21,2,A,5,770,1,82,-10,0,0,999,3,3,25.7030205312635,10,9
2401844,26,46,1-26-2024-046-NM1,21,2,B,5,770,1,116,-58,2,0,999,4,3,25.7030205312635,10,9
2401844,26,46,1-26-2024-046-NM1,21,2,C,5,770,1,113,-45,0,0,999,3,3,25.7030205312635,10,9
2401844,26,46,1-26-2024-046-NM1,21,2,D,6,775,1,203,-38,8,0,101,12,3,25.7030205312635,10,9
2401844,26,46,1-26-2024-046-NM1,21,2,E,6,784,1,226,-72,0,0,999,3,3,25.7030205312635,10,9
2400488,57,9,1-57-2024-009-NM1,21,1,B,10,61,1,888,888,888,8,999,98,1,15.1868109907281,1,9
2401053,27,34,1-27-2024-034-NM2,22,1,A,10,61,1,888,888,888,8,999,98,1,32.7871735473087,3,9
2402090,16,59,1-16-2024-059-NM1,21,1,A,1,700,1,45,5,0,0,851,3,2,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,B,1,702,1,65,20,0,0,851,5,1,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,C,5,770,1,88,0,0,0,831,1,2,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,D,6,775,1,200,0,3,0,711,12,1,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,E,6,775,1,270,45,7,0,101,12,1,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,F,6,776,1,280,45,3,0,101,5,2,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,G,6,782,1,320,15,1,0,999,96,2,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,H,1,700,1,45,70,0,0,852,3,2,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,2,A,1,700,1,28,-5,18,9,999,2,2,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,2,B,1,702,1,40,-2,999,9,999,5,2,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,2,C,5,770,1,75,-15,1,0,999,5,2,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,2,D,1,700,1,55,-40,4,0,999,5,2,19.3635256654646,5,9
2405394,10,107,1-10-2024-107-NM1,21,1,E,6,775,1,240,36,999,9,711,96,1,36.1764362071444,4,9
2405394,10,107,1-10-2024-107-NM1,21,1,F,6,776,1,281,46,1,0,101,5,1,36.1764362071444,4,9
2404169,16,111,1-16-2024-111-NM2,22,1,A,10,61,1,888,888,888,8,999,98,1,253.20495381158,5,9
2401179,32,40,1-32-2024-040-NM1,21,2,A,10,61,1,888,888,888,8,999,98,2,15.2268214619951,7,9
2405121,22,155,1-22-2024-155-NM2,22,1,B,10,61,1,888,888,888,8,999,96,1,64.1408737687855,12,9
2403275,20,88,1-20-2024-088-NM2,22,1,G,6,775,1,999,999,999,9,101,2,1,204.607683671141,11,9
2403275,20,88,1-20-2024-088-NM2,22,1,H,10,61,1,888,888,888,8,999,98,2,204.607683671141,11,9
2404202,52,45,1-52-2024-045-NM1,21,1,D,5,770,1,101,61,5,0,999,5,2,23.3488363699868,12,9
2403213,24,89,1-24-2024-089-NM1,21,1,D,1,703,1,105,2,999,0,839,1,2,23.1726143074507,1,9
2404202,52,45,1-52-2024-045-NM1,21,1,E,6,775,1,244,35,5,0,101,12,2,23.3488363699868,12,9
2404202,52,45,1-52-2024-045-NM1,21,1,F,10,61,1,888,888,888,8,999,98,1,23.3488363699868,12,9
2403213,24,89,1-24-2024-089-NM1,21,1,G,10,61,1,888,888,888,8,999,98,2,23.1726143074507,1,9
2403213,24,89,1-24-2024-089-NM1,21,1,F,5,770,1,120,-30,999,0,742,1,3,23.1726143074507,1,9
2403213,24,89,1-24-2024-089-NM1,21,1,E,5,770,1,120,25,999,0,741,1,3,23.1726143074507,1,9
2405120,22,154,1-22-2024-154-NM2,22,1,A,10,61,1,888,888,888,8,999,98,1,64.1408737687855,12,9
2404707,11,143,1-11-2024-143-NM2,22,1,A,10,61,1,888,888,888,8,999,98,2,2037.79059287364,8,9
2405745,22,175,1-22-2024-175-NM2,22,1,A,1,700,1,48,-59,1,0,999,11,1,38.9781737548834,12,9
2405745,22,175,1-22-2024-175-NM2,22,1,B,10,61,1,888,888,888,8,999,98,2,38.9781737548834,12,9
2405105,27,160,1-27-2024-160-NM2,22,1,A,2,720,1,185,-115,1,0,831,5,2,35.0197990149152,3,9
2405105,27,160,1-27-2024-160-NM2,22,1,D,10,61,1,888,888,888,8,996,98,1,35.0197990149152,3,9
2402434,30,83,1-30-2024-083-NM2,22,1,J,3,756,1,110,78,0,0,999,96,2,361.666104097377,10,9
2402090,16,59,1-16-2024-059-NM1,21,2,E,8,800,1,69,0,3,0,999,5,2,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,2,F,2,720,1,160,-85,1,0,999,5,2,19.3635256654646,5,9
2401535,12,28,1-12-2024-028-NM2,22,1,F,10,61,1,888,888,888,8,999,98,1,249.68170357321,9,9
2402161,62,56,1-62-2024-056-NM1,21,1,A,5,770,1,90,-50,3,0,812,5,2,60.6701620601723,7,9
2402161,62,56,1-62-2024-056-NM1,21,1,B,2,720,1,120,-66,2,0,859,5,3,60.6701620601723,7,9
2402161,62,56,1-62-2024-056-NM1,21,1,C,5,770,1,135,-15,999,0,732,5,3,60.6701620601723,7,9
2402161,62,56,1-62-2024-056-NM1,21,1,D,6,775,1,999,999,999,0,712,98,3,60.6701620601723,7,9
2401027,16,33,1-16-2024-033-NM2,22,1,B,1,703,1,96,-27,2,0,101,98,2,439.019791611487,5,9
2401198,13,30,1-13-2024-030-NM2,22,1,B,10,61,1,888,888,888,8,999,98,1,1161.47481366351,7,9
2401198,13,30,1-13-2024-030-NM2,22,1,C,10,61,2,888,888,888,8,731,98,1,1161.47481366351,7,9
2401146,20,28,1-20-2024-028-NM1,21,1,J,5,770,2,135,-14,2,0,711,98,2,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,K,5,770,2,172,-52,1,0,711,98,2,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,L,5,770,2,178,-88,888,8,999,2,2,43.971490849978,11,9
2402228,27,70,1-27-2024-070-NM2,22,1,A,1,701,1,33,162,0,0,851,5,1,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,B,1,700,1,42,153,1,0,831,5,1,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,C,1,700,1,57,-27,0,0,831,3,1,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,D,1,701,1,33,-7,0,0,851,3,1,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,E,5,770,1,110,-4,1,0,711,1,1,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,F,5,770,1,150,-47,0,0,101,1,1,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,G,5,770,1,120,-64,0,0,401,1,1,30.6673615919684,3,9
2401665,24,37,1-24-2024-037-NM2,22,1,A,1,700,1,49,95,0,0,851,2,3,87.1884768897586,1,9
2401665,24,37,1-24-2024-037-NM2,22,1,B,5,770,1,145,103,0,0,731,3,3,87.1884768897586,1,9
2401665,24,37,1-24-2024-037-NM2,22,1,C,3,752,1,228,83,0,0,201,5,3,87.1884768897586,1,9
2401146,20,28,1-20-2024-028-NM1,21,1,M,10,61,1,888,888,888,8,999,98,1,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,N,10,61,2,888,888,888,8,999,98,1,43.971490849978,11,9
2400447,67,5,1-67-2024-005-NM2,22,1,A,10,61,1,888,888,888,8,999,98,1,483.798087598719,7,9
2400518,26,10,1-26-2024-010-NM2,22,1,A,10,61,1,888,888,888,8,999,98,1,585.861766834301,10,9
2401146,20,28,1-20-2024-028-NM1,21,1,O,6,784,2,199,-68,0,0,601,5,2,43.971490849978,11,9
2401718,21,32,1-21-2024-032-NM2,22,1,B,10,61,1,888,888,888,8,601,6,1,2513.96756463306,11,9
2401183,22,34,1-22-2024-034-NM2,22,1,A,10,61,1,888,888,888,8,999,98,2,24.4305122731702,12,9
2402080,11,53,1-11-2024-053-NM1,21,1,A,1,700,1,70,-12,0,0,851,3,3,37.1071357763572,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,B,1,702,1,76,-7,3,0,831,3,3,37.1071357763572,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,C,1,703,1,96,-15,0,0,811,5,3,37.1071357763572,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,D,5,770,1,120,-10,3,0,511,5,3,37.1071357763572,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,E,1,703,1,103,19,0,0,814,3,3,37.1071357763572,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,F,1,703,1,105,32,4,0,511,5,3,37.1071357763572,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,G,1,703,1,105,45,0,0,811,3,3,37.1071357763572,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,H,1,703,1,117,61,0,0,814,3,3,37.1071357763572,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,I,5,770,1,130,36,4,0,731,5,3,37.1071357763572,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,J,6,775,1,229,54,0,0,101,2,3,37.1071357763572,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,K,6,775,1,252,55,0,0,101,2,3,37.1071357763572,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,L,3,742,1,128,68,0,0,711,3,3,37.1071357763572,8,9
2401752,13,46,1-13-2024-046-NM2,22,1,A,4,768,1,999,999,999,0,201,1,1,2482.68938093394,7,9
2401143,30,39,1-30-2024-039-NM2,22,1,A,10,61,1,888,888,888,8,999,98,2,269.894765505706,10,9
2402344,16,69,1-16-2024-069-NM1,21,1,B,5,770,1,73,-24,0,0,822,3,1,26.1808531062603,5,9
2402344,16,69,1-16-2024-069-NM1,21,1,D,6,775,1,228,-62,6,0,101,7,1,26.1808531062603,5,9
2402344,16,69,1-16-2024-069-NM1,21,1,C,5,772,1,120,-70,0,0,821,3,1,26.1808531062603,5,9
2401442,26,39,1-26-2024-039-NM1,21,2,A,10,61,1,888,888,888,8,999,98,1,25.7030205312635,10,9
2401206,31,25,1-31-2024-025-NM2,22,1,C,10,61,1,888,888,888,8,999,98,2,197.377933176122,6,9
2401459,15,57,1-15-2024-057-NM2,22,1,A,10,61,1,888,888,888,0,999,98,1,62.2950385720824,1,9
2401665,24,37,1-24-2024-037-NM2,22,1,D,10,61,1,888,888,888,8,201,98,1,87.1884768897586,1,9
2401180,32,41,1-32-2024-041-NM1,21,1,A,10,61,1,888,888,888,9,999,98,2,15.2268214619951,7,9
2402344,16,69,1-16-2024-069-NM1,21,1,A,1,700,1,60,-40,0,0,832,96,1,26.1808531062603,5,9
2401615,59,51,1-59-2024-051-NM2,22,1,A,10,61,1,888,888,888,8,823,98,1,173.711917950995,6,9
2400729,32,21,1-32-2024-021-NM1,21,1,D,10,61,1,888,888,888,9,999,98,1,10.924164677076,7,9
2402210,25,53,1-25-2024-053-NM2,22,1,A,1,700,1,999,999,999,0,859,3,1,202.399293704263,2,9
2402210,25,53,1-25-2024-053-NM2,22,1,B,1,701,1,999,999,999,0,859,2,1,202.399293704263,2,9
2402210,25,53,1-25-2024-053-NM2,22,1,C,1,703,1,999,999,999,0,819,1,1,202.399293704263,2,9
2402210,25,53,1-25-2024-053-NM2,22,1,D,5,770,1,999,999,999,0,739,5,1,202.399293704263,2,9
2402210,25,53,1-25-2024-053-NM2,22,1,E,1,702,1,999,999,999,0,819,3,1,202.399293704263,2,9
2402210,25,53,1-25-2024-053-NM2,22,1,F,1,706,1,999,999,999,0,819,2,1,202.399293704263,2,9
2402210,25,53,1-25-2024-053-NM2,22,1,G,2,720,1,999,999,999,0,739,5,1,202.399293704263,2,9
2402210,25,53,1-25-2024-053-NM2,22,1,H,6,775,1,999,999,999,0,101,3,1,202.399293704263,2,9
2400611,24,13,1-24-2024-013-NM2,22,1,B,5,770,1,999,999,999,9,601,5,1,147.143075961834,1,9
2400611,24,13,1-24-2024-013-NM2,22,1,C,1,700,1,999,999,999,9,851,1,2,147.143075961834,1,9
2400611,24,13,1-24-2024-013-NM2,22,1,E,10,61,1,888,888,888,8,999,98,2,147.143075961834,1,9
2400683,59,24,1-59-2024-024-NM1,21,1,C,10,61,1,888,888,888,8,999,98,2,62.3822922049643,6,9
2402381,27,75,1-27-2024-075-NM2,22,1,A,3,750,1,888,888,888,0,851,98,3,58.8273813617497,3,9
2402381,27,75,1-27-2024-075-NM2,22,1,B,3,750,1,888,888,888,0,721,96,1,58.8273813617497,3,9
2402381,27,75,1-27-2024-075-NM2,22,1,C,3,756,1,888,888,888,0,711,98,3,58.8273813617497,3,9
2402420,48,79,1-48-2024-079-NM1,21,1,A,5,770,1,114,22,0,0,741,3,3,85.8427679861707,12,9
2400111,16,3,1-16-2024-003-NM2,22,1,A,10,61,1,888,888,888,8,999,98,2,1277.06637139415,5,9
2401812,24,43,1-24-2024-043-NM1,21,1,A,10,61,1,999,999,999,0,201,6,1,23.1726143074507,1,9
2400923,21,22,1-21-2024-022-NM1,21,1,E,1,718,1,26,38,888,0,852,5,2,12.4076963253184,11,9
2400923,21,22,1-21-2024-022-NM1,21,1,F,1,700,1,37,35,0,0,859,2,2,12.4076963253184,11,9
2401016,24,22,1-24-2024-022-NM1,21,1,B,1,706,1,85,62,999,0,831,2,1,81.6170730667138,1,9
2401016,24,22,1-24-2024-022-NM1,21,1,D,5,770,1,200,78,1,0,601,5,1,81.6170730667138,1,9
2401016,24,22,1-24-2024-022-NM1,21,1,F,3,753,1,232,95,888,8,719,1,1,81.6170730667138,1,9
2401016,24,22,1-24-2024-022-NM1,21,1,A,1,700,1,56,70,999,9,831,3,1,81.6170730667138,1,9
2401016,24,22,1-24-2024-022-NM1,21,1,G,6,775,1,245,80,0,8,101,3,2,81.6170730667138,1,9
2401016,24,22,1-24-2024-022-NM1,21,1,I,10,61,1,888,888,888,8,999,98,1,81.6170730667138,1,9
2402543,25,60,1-25-2024-060-NM1,21,1,A,1,701,1,25,65,0,0,871,3,2,46.3961698932894,2,9
2402543,25,60,1-25-2024-060-NM1,21,1,B,1,700,1,45,33,0,0,841,3,1,46.3961698932894,2,9
2402543,25,60,1-25-2024-060-NM1,21,1,C,1,700,1,44,85,3,0,999,2,3,46.3961698932894,2,9
2402543,25,60,1-25-2024-060-NM1,21,1,D,1,706,1,100,73,0,0,811,3,2,46.3961698932894,2,9
2402543,25,60,1-25-2024-060-NM1,21,1,E,5,770,1,141,71,2,0,511,96,1,46.3961698932894,2,9
2402543,25,60,1-25-2024-060-NM1,21,1,F,6,775,1,214,58,6,0,101,12,1,46.3961698932894,2,9
2402543,25,60,1-25-2024-060-NM1,21,1,G,3,749,1,258,90,1,0,999,5,3,46.3961698932894,2,9
2402543,25,60,1-25-2024-060-NM1,21,1,H,5,788,1,298,43,1,0,999,5,3,46.3961698932894,2,9
2402547,59,79,1-59-2024-079-NM1,21,1,A,1,700,1,999,999,999,0,849,3,1,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,B,1,706,1,999,999,999,0,839,96,1,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,C,1,708,1,999,999,999,0,839,96,1,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,D,1,703,1,999,999,999,0,519,96,1,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,E,5,770,1,999,999,999,0,519,96,1,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,F,6,784,1,999,999,999,0,719,96,1,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,G,6,775,1,999,999,999,0,999,96,1,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,H,2,732,1,999,999,999,0,999,98,1,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,I,2,720,1,999,999,999,0,999,96,1,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,J,2,734,1,999,999,999,0,999,3,1,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,K,2,729,1,999,999,999,0,999,3,1,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,L,2,730,1,999,999,999,0,999,3,1,62.3822922049643,6,9
2402542,16,78,1-16-2024-078-NM1,21,1,A,5,770,1,999,999,999,0,832,3,1,21.9314980825962,5,9
2402542,16,78,1-16-2024-078-NM1,21,1,B,5,770,1,999,999,999,0,831,3,1,21.9314980825962,5,9
2402542,16,78,1-16-2024-078-NM1,21,1,C,6,775,1,999,999,999,0,823,2,1,21.9314980825962,5,9
2402542,16,78,1-16-2024-078-NM1,21,1,D,6,775,1,999,999,999,0,761,2,1,21.9314980825962,5,9
2402542,16,78,1-16-2024-078-NM1,21,1,E,6,775,1,999,999,999,0,731,2,1,21.9314980825962,5,9
2402288,81,46,1-81-2024-046-NM2,22,1,A,1,700,1,999,999,999,9,811,1,2,2408.08347527868,8,9
2402288,81,46,1-81-2024-046-NM2,22,1,B,1,700,2,999,999,999,9,811,1,2,2408.08347527868,8,9
2402625,21,52,1-21-2024-052-NM2,22,1,A,1,701,1,25,94,999,0,851,2,1,1946.80039165077,11,9
2402625,21,52,1-21-2024-052-NM2,22,1,B,1,700,1,55,94,0,0,841,2,1,1946.80039165077,11,9
2402625,21,52,1-21-2024-052-NM2,22,1,C,1,706,1,67,94,20,8,501,5,1,1946.80039165077,11,9
2402254,26,62,1-26-2024-062-NM1,21,1,A,1,700,1,80,240,0,0,851,3,2,25.7030205312635,10,9
2402254,26,62,1-26-2024-062-NM1,21,1,B,1,706,1,100,236,0,0,831,2,2,25.7030205312635,10,9
2402254,26,62,1-26-2024-062-NM1,21,1,C,5,770,1,176,261,0,0,511,3,2,25.7030205312635,10,9
2402254,26,62,1-26-2024-062-NM1,21,1,D,5,770,1,186,295,4,0,711,3,2,25.7030205312635,10,9
2402376,15,92,1-15-2024-092-NM2,22,1,A,10,61,1,888,888,888,8,101,98,1,172.627983004139,1,9
2402692,69,50,1-69-2024-050-NM1,21,1,A,1,702,1,78,33,1,0,831,5,2,7.66811372485411,8,9
2402692,69,50,1-69-2024-050-NM1,21,1,B,1,703,1,78,44,0,0,831,3,2,7.66811372485411,8,9
2402692,69,50,1-69-2024-050-NM1,21,1,C,1,703,1,100,33,3,0,761,5,2,7.66811372485411,8,9
2402198,11,55,1-11-2024-055-NM1,21,1,A,3,750,1,888,888,15,0,601,5,3,37.1071357763572,8,9
2401800,60,18,1-60-2024-018-NM1,21,1,E,10,61,1,888,888,888,8,999,98,1,135.73456108388,8,9
2402083,24,50,1-24-2024-050-NM1,21,1,A,1,703,1,999,999,999,9,511,3,3,23.1726143074507,1,9
2402124,28,61,1-28-2024-061-NM2,22,1,A,1,701,1,999,999,0,0,872,3,1,37.9334438090452,3,9
2402124,28,61,1-28-2024-061-NM2,22,1,B,1,701,1,999,999,0,0,999,3,2,37.9334438090452,3,9
2402755,26,80,1-26-2024-080-NM1,21,1,A,3,758,1,888,888,0,0,999,4,2,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,H,10,61,1,888,888,888,8,999,96,2,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,B,1,700,1,999,73,999,9,859,2,2,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,C,1,700,1,999,82,2,9,859,1,2,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,D,6,775,1,230,56,999,8,101,2,2,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,E,1,706,1,999,999,999,9,819,2,2,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,F,5,772,1,999,68,999,9,519,1,2,25.7030205312635,10,9
2402083,24,50,1-24-2024-050-NM1,21,1,B,5,770,1,999,999,999,9,511,9,3,23.1726143074507,1,9
2401250,30,41,1-30-2024-041-NM1,21,1,H,10,61,1,888,888,888,8,999,98,2,28.3509494483113,10,9
2402153,81,44,1-81-2024-044-NM2,22,1,A,10,61,1,888,888,888,8,999,98,2,2513.96756463306,8,9
2400923,21,22,1-21-2024-022-NM1,21,1,G,10,61,1,888,888,888,8,999,98,2,12.4076963253184,11,9
2401353,10,20,1-10-2024-020-NM2,22,1,A,10,61,1,888,888,888,8,999,98,1,1035.08583897877,4,9
2402381,27,75,1-27-2024-075-NM2,22,1,D,10,61,1,888,888,888,8,999,98,1,58.8273813617497,3,9
2402168,48,72,1-48-2024-072-NM2,22,1,A,1,708,1,999,999,999,0,999,98,2,76.3842355060005,12,9
2402620,31,52,1-31-2024-052-NM2,22,1,A,1,703,1,85,17,4,0,711,5,1,197.377933176122,6,9
2402620,31,52,1-31-2024-052-NM2,22,1,B,5,770,1,156,59,1,0,101,5,2,197.377933176122,6,9
2400825,10,13,1-10-2024-013-NM1,21,1,A,2,733,1,999,999,999,8,999,2,3,60.5767032793963,4,9
2402306,30,80,1-30-2024-080-NM2,22,1,A,10,61,1,888,888,888,8,999,98,2,2370.57424915505,10,9
2402307,30,81,1-30-2024-081-NM1,21,1,A,1,703,1,75,-65,1,0,831,5,3,70.0679338170937,10,9
2402307,30,81,1-30-2024-081-NM1,21,1,B,1,702,1,70,-65,2,0,851,2,2,70.0679338170937,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,A,1,700,1,60,-71,1,0,999,5,2,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,B,1,718,1,48,8,0,0,999,2,2,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,C,1,700,1,48,61,0,0,999,2,2,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,H,6,784,1,232,72,0,0,999,3,3,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,D,1,708,1,54,78,1,0,999,2,2,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,E,1,703,1,115,60,1,0,999,5,2,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,F,5,770,1,170,68,0,0,999,3,2,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,G,6,775,1,232,70,1,0,101,12,2,361.666104097377,10,9
2400448,82,13,1-82-2024-013-NM2,22,1,A,1,719,1,999,999,999,9,999,98,2,387.535062825824,1,9
2400448,82,13,1-82-2024-013-NM2,22,1,B,10,61,1,888,888,888,8,999,98,1,387.535062825824,1,9
2401793,20,53,1-20-2024-053-NM2,22,1,A,1,718,1,999,999,999,9,999,5,2,172.732860679058,11,9
2401793,20,53,1-20-2024-053-NM2,22,1,B,1,703,1,999,999,888,0,999,9,2,172.732860679058,11,9
2401793,20,53,1-20-2024-053-NM2,22,1,C,10,61,1,888,888,888,8,999,98,1,172.732860679058,11,9
2401489,59,49,1-59-2024-049-NM2,22,1,A,10,61,1,888,888,888,8,999,98,9,122.869992801552,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,L,10,61,1,888,888,888,8,999,98,2,110.074249285118,6,9
2402972,11,82,1-11-2024-082-NM1,21,1,A,1,701,1,53,168,0,0,872,2,2,37.1071357763572,8,9
2402972,11,82,1-11-2024-082-NM1,21,1,B,1,701,1,56,150,1,1,862,5,3,37.1071357763572,8,9
2402972,11,82,1-11-2024-082-NM1,21,1,C,1,700,1,80,-2,17,0,832,1,3,37.1071357763572,8,9
2402972,11,82,1-11-2024-082-NM1,21,1,D,1,702,1,90,-2,15,0,832,1,3,37.1071357763572,8,9
2402972,11,82,1-11-2024-082-NM1,21,1,E,1,703,1,102,4,8,0,812,1,3,37.1071357763572,8,9
