CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTACTAREA,CONTCOMP,NMNO,LONGLOC,LATLOC,CRUSH,BOTTOMOUT,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
2400684,59,25,1-59-2024-025-NM2,22,1,A,10,61,1,888,888,888,8,999,98,1,264.2527724963,6,9
2401206,31,25,1-31-2024-025-NM2,22,1,A,1,700,1,78,59,1,0,811,9,2,197.377933176122,6,9
2401206,31,25,1-31-2024-025-NM2,22,1,B,1,700,1,57,66,0,0,731,2,2,197.377933176122,6,9
2400248,22,4,1-22-2024-004-NM2,22,1,B,10,61,1,888,888,888,8,842,98,1,105.99041920132,12,9
2401146,20,28,1-20-2024-028-NM1,21,1,A,1,702,2,75,50,1,0,811,2,3,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,B,1,701,2,20,23,0,0,861,3,3,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,C,1,701,1,24,54,0,0,851,2,3,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,D,1,700,1,45,58,0,0,841,2,3,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,E,1,708,1,37,73,0,0,811,2,3,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,F,1,700,1,43,118,0,0,999,3,3,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,G,3,740,1,77,98,1,0,999,9,3,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,H,3,758,1,217,154,0,0,999,2,2,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,I,2,733,2,225,-100,888,0,999,3,3,43.971490849978,11,9
2400678,11,18,1-11-2024-018-NM1,21,1,A,1,700,1,77,-64,0,0,852,3,2,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,B,1,700,1,87,-87,0,0,851,3,2,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,C,1,706,1,119,-78,3,0,812,2,2,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,D,5,772,1,147,-77,3,0,812,5,2,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,E,5,772,1,157,-98,2,0,512,5,2,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,F,5,772,1,184,-90,2,0,512,5,3,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,G,5,770,1,214,-98,0,0,762,4,2,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,H,5,772,1,218,-85,1,0,101,5,2,37.1071357763572,8,9
2401250,30,41,1-30-2024-041-NM1,21,1,A,3,740,1,222,130,2,0,999,1,1,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,B,3,740,1,142,140,0,0,999,3,2,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,C,3,740,1,177,100,1,0,999,1,1,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,D,3,740,1,180,102,1,0,999,1,1,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,E,3,740,1,222,89,1,0,999,1,1,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,F,3,740,1,141,95,1,0,999,1,1,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,G,5,770,1,197,72,0,0,999,3,2,28.3509494483113,10,9
2401113,13,28,1-13-2024-028-NM1,21,1,A,6,775,1,232,40,0,0,101,12,2,14.5007405645646,7,9
2401113,13,28,1-13-2024-028-NM1,21,1,B,6,775,1,203,14,0,0,761,12,2,14.5007405645646,7,9
2400096,30,2,1-30-2024-002-NM1,21,1,A,10,61,1,888,888,888,8,519,98,1,33.6409129061174,10,9
2401286,52,17,1-52-2024-017-NM2,22,1,A,10,61,1,888,888,888,8,999,96,1,35.2372312111538,12,9
2401306,26,31,1-26-2024-031-NM1,21,1,A,6,784,1,224,65,2,0,999,1,1,25.7030205312635,10,9
2400683,59,24,1-59-2024-024-NM1,21,1,A,1,700,1,46,-26,0,0,859,3,3,62.3822922049643,6,9
2400683,59,24,1-59-2024-024-NM1,21,1,B,1,700,1,15,-55,0,0,859,2,3,62.3822922049643,6,9
2401297,27,43,1-27-2024-043-NM1,21,1,A,1,701,1,35,63,2,1,871,5,3,20.2398432682456,3,9
2401297,27,43,1-27-2024-043-NM1,21,1,B,1,702,1,55,2,2,0,811,2,2,20.2398432682456,3,9
2401297,27,43,1-27-2024-043-NM1,21,1,C,1,700,1,35,-27,0,0,841,3,3,20.2398432682456,3,9
2401297,27,43,1-27-2024-043-NM1,21,1,D,1,703,1,65,-44,0,0,841,3,3,20.2398432682456,3,9
2401297,27,43,1-27-2024-043-NM1,21,1,E,5,770,1,107,-1,2,0,511,5,1,20.2398432682456,3,9
2401297,27,43,1-27-2024-043-NM1,21,1,F,6,775,1,231,-44,5,0,711,12,1,20.2398432682456,3,9
2401297,27,43,1-27-2024-043-NM1,21,1,G,6,784,1,233,-67,0,0,101,7,1,20.2398432682456,3,9
2400112,28,2,1-28-2024-002-NM2,22,1,C,10,61,1,888,888,888,8,999,98,1,55.8454658150129,3,9
2401324,66,26,1-66-2024-026-NM2,22,1,A,1,700,1,45,9,0,1,852,3,1,110.074249285118,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,B,1,700,1,45,-9,0,1,851,3,1,110.074249285118,6,9
2404827,25,127,1-25-2024-127-NM1,21,1,C,1,703,1,83,38,1,0,512,1,2,46.3961698932894,2,9
2404827,25,127,1-25-2024-127-NM1,21,1,D,10,61,1,888,888,888,8,999,98,1,46.3961698932894,2,9
2404924,12,94,1-12-2024-094-NM1,21,1,G,1,706,1,100,74,999,0,829,2,1,263.286057296844,9,9
2404924,12,94,1-12-2024-094-NM1,21,1,H,10,61,1,888,888,888,8,999,98,2,263.286057296844,9,9
2403998,25,103,1-25-2024-103-NM1,21,1,E,1,718,1,999,999,999,8,501,5,3,55.4169403670828,2,9
2405998,20,141,1-20-2024-141-NM1,21,1,I,5,787,1,999,999,999,8,999,5,3,35.0220589332575,11,9
2404825,24,135,1-24-2024-135-NM2,22,1,A,10,61,1,888,888,888,8,999,96,2,43.9956216097119,1,9
2406292,22,191,1-22-2024-191-NM2,22,1,A,1,703,1,999,999,999,9,999,2,1,24.4305122731702,12,9
2404828,25,128,1-25-2024-128-NM1,21,1,E,10,61,1,888,888,888,8,999,98,2,46.3961698932894,2,9
2406001,81,158,1-81-2024-158-NM2,22,2,A,1,719,1,999,999,999,8,869,98,1,1666.588526805,8,9
2404933,33,96,1-33-2024-096-NM2,22,1,A,10,61,1,888,888,888,8,999,98,2,151.096542186302,12,9
2404955,16,122,1-16-2024-122-NM1,21,1,C,1,702,1,84,48,0,0,999,2,3,20.5106500164933,5,9
2405648,14,114,1-14-2024-114-NM1,21,1,A,1,700,1,999,999,999,0,851,2,2,89.7759087557985,8,9
2405648,14,114,1-14-2024-114-NM1,21,1,B,1,706,1,999,999,999,0,511,2,2,89.7759087557985,8,9
2405648,14,114,1-14-2024-114-NM1,21,1,C,1,702,1,999,999,999,0,999,5,1,89.7759087557985,8,9
2402434,30,83,1-30-2024-083-NM2,22,1,K,10,61,1,888,888,888,8,999,98,1,361.666104097377,10,9
2405648,14,114,1-14-2024-114-NM1,21,1,D,1,703,1,999,999,999,0,999,5,1,89.7759087557985,8,9
2405745,22,175,1-22-2024-175-NM2,22,1,C,1,700,1,67,-57,1,0,999,3,2,38.9781737548834,12,9
2405238,22,161,1-22-2024-161-NM2,22,1,A,10,61,1,888,888,888,8,999,98,1,45.2877985053891,12,9
2403524,21,72,1-21-2024-072-NM1,21,1,A,10,61,1,888,888,888,8,999,98,2,9.710167648307,11,9
2403524,21,72,1-21-2024-072-NM1,21,1,B,10,61,2,888,888,888,8,999,98,2,9.710167648307,11,9
2403413,81,77,1-81-2024-077-NM1,21,2,A,3,750,1,888,888,3,0,999,1,2,23.4695700092411,8,9
2403413,81,77,1-81-2024-077-NM1,21,2,B,10,61,1,888,888,888,8,999,96,2,23.4695700092411,8,9
2405819,60,98,1-60-2024-098-NM1,21,1,A,1,701,1,48,56,1,0,852,2,1,43.22330010499,8,9
2405819,60,98,1-60-2024-098-NM1,21,1,B,1,700,1,69,40,1,0,832,2,1,43.22330010499,8,9
2405819,60,98,1-60-2024-098-NM1,21,1,C,1,703,1,128,60,0,0,101,3,3,43.22330010499,8,9
2404955,16,122,1-16-2024-122-NM1,21,1,D,10,61,1,888,888,888,8,999,98,2,20.5106500164933,5,9
2401198,13,30,1-13-2024-030-NM2,22,1,E,1,702,1,999,999,999,9,999,3,1,1161.47481366351,7,9
2401198,13,30,1-13-2024-030-NM2,22,1,F,1,700,2,999,999,999,9,852,98,2,1161.47481366351,7,9
2404886,22,148,1-22-2024-148-NM2,22,1,A,1,700,1,62,999,0,0,999,3,3,35.1496027167127,12,9
