CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
2401383,33,23,1-33-2024-023-03,3,2,270,469,184,1610,160,97,102,140,4,2.5,2,4,0,0,57,37.4648103957919,12,9
2401383,33,23,1-33-2024-023-03,3,3,357,572,190,2032,161,93,121,999,6,3.5,2,3,9,0,58,37.4648103957919,12,9
2401526,33,25,1-33-2024-025-06,6,1,278,487,183,1453,159,97,112,138,4,2.5,2,1,0,0,60,86.5029641253402,12,9
2404423,33,85,1-33-2024-085-03,3,1,272,469,183,1760,157,93,106,152,6,3.0,2,3,0,1,58,39.2891207375412,12,9
2404423,33,85,1-33-2024-085-03,3,2,285,480,193,2035,165,97,99,152,4,2.0,2,4,0,0,58,39.2891207375412,12,9
2405250,33,99,1-33-2024-099-01,1,1,274,467,190,1333,157,93,100,148,4,2.0,2,1,9,0,60,46.8911908349198,12,9
2402700,33,45,1-33-2024-045-03,3,1,267,463,182,1569,157,97,99,144,4,2.5,2,4,0,0,58,57.6772024603387,12,9
2402700,33,45,1-33-2024-045-03,3,2,265,453,183,1340,154,89,99,138,4,2.0,2,1,0,0,60,57.6772024603387,12,9
2402176,33,37,1-33-2024-037-03,3,1,269,459,185,1703,161,92,99,148,4,2.5,2,4,0,0,56,48.442386450573,12,9
2402176,33,37,1-33-2024-037-03,3,2,326,540,189,1791,158,94,120,144,6,3.6,2,2,0,1,57,48.442386450573,12,9
2400871,33,13,1-33-2024-013-04,4,1,285,487,179,1569,153,99,103,148,4,2.4,2,1,0,1,59,111.292117176714,12,9
2400871,33,13,1-33-2024-013-04,4,2,326,540,189,1891,158,94,120,154,4,2.5,2,3,0,1,57,111.292117176714,12,9
2405047,33,97,1-33-2024-097-NM1,21,1,267,456,175,1284,151,93,96,148,4,1.8,2,1,0,0,61,55.4261582929793,12,9
2403078,33,51,1-33-2024-051-01,1,2,368,581,200,2454,170,98,116,160,6,3.5,2,3,0,0,56,35.1791324819626,12,9
2401996,33,33,1-33-2024-033-03,3,2,270,448,179,1560,155,100,79,999,98,98.0,3,1,9,0,58,185.717209095167,12,9
2403450,33,59,1-33-2024-059-09,9,1,305,508,189,1719,160,92,112,158,6,3.5,2,2,0,0,54,156.661747322073,12,9
2404317,33,83,1-33-2024-083-09,9,1,357,575,202,2150,168,95,123,170,8,4.7,2,2,0,1,57,187.781585730197,12,9
2405499,33,102,1-33-2024-102-01,1,1,270,482,177,1455,151,100,111,150,6,3.0,2,1,0,0,63,72.5787308334631,12,9
2404566,33,89,1-33-2024-089-02,2,1,269,461,184,1828,151,82,111,999,8,4.7,2,3,9,0,55,23.2460633538017,12,9
2404566,33,89,1-33-2024-089-02,2,2,266,459,185,1580,161,91,101,140,4,1.5,2,1,0,0,58,23.2460633538017,12,9
