CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
2400247,21,4,1-21-2024-004-03,3,2,1,2,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,7932,127.696919509624,11,9
2400257,82,8,1-82-2024-008-06,6,2,1,3,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,17849,194.188153888718,1,9
2400244,15,7,1-15-2024-007-08,8,1,1,0,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,13771,15.788345713656,1,9
2400243,15,6,1-15-2024-006-03,3,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,2410,18.4079052843847,1,9
2400259,76,5,1-76-2024-005-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,2892,80.9363528734549,3,9
2400260,15,9,1-15-2024-009-04,4,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,1702,69.967844187878,1,9
2400264,16,7,1-16-2024-007-05,5,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,7670,76.4760312858943,5,9
2400269,30,7,1-30-2024-007-06,6,1,1,1,E-N-H-01-00-0060,EDR001-R01,1,8060,370.101700695762,10,9
2400269,30,7,1-30-2024-007-06,6,2,1,4,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,370.101700695762,10,9
2400208,11,4,1-11-2024-004-07,7,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,7722,657.057558003413,8,9
2400196,30,5,1-30-2024-005-03,3,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,118.941169354752,10,9
2400196,30,5,1-30-2024-005-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6672,118.941169354752,10,9
2400277,77,7,1-77-2024-007-03,3,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,3278,65.1275025618817,9,9
2400274,62,10,1-62-2024-010-09,9,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,2,999997,2924.41234542523,7,9
2400279,77,9,1-77-2024-009-08,8,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,102.349519441103,9,9
2400274,62,10,1-62-2024-010-09,9,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,36676,2924.41234542523,7,9
2400281,59,10,1-59-2024-010-07,7,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,15430,440.862031028439,6,9
2400275,62,11,1-62-2024-011-01,1,1,1,5,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8667,49.4790764290765,7,9
2400282,59,11,1-59-2024-011-02,2,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,7151,48.7900687173874,6,9
2400282,59,11,1-59-2024-011-02,2,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5226,48.7900687173874,6,9
2400276,62,12,1-62-2024-012-04,4,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,625,1242.8687815942,7,9
2400283,59,12,1-59-2024-012-04,4,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,8095,133.446453331706,6,9
2400289,13,5,1-13-2024-005-03,3,2,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,7028,411.723945645397,7,9
2400290,13,6,1-13-2024-006-02,2,2,1,5,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4408,9.13287494953795,7,9
2400515,15,19,1-15-2024-019-06,6,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,13329,75.3280244914705,1,9
2400522,17,17,1-17-2024-017-04,4,1,1,5,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,95.7997808721022,4,9
2400522,17,17,1-17-2024-017-04,4,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,1980,95.7997808721022,4,9
2400523,26,11,1-26-2024-011-06,6,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,17207,689.488079747103,10,9
2400524,28,11,1-28-2024-011-10,10,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,26234,80.5683609045318,3,9
2400525,28,12,1-28-2024-012-04,4,1,1,1,E-N-K-01-00-0056,EDR002-R01,1,3193,47.851485985308,3,9
2400526,28,13,1-28-2024-013-04,4,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,2445,47.851485985308,3,9
2400530,22,11,1-22-2024-011-09,9,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,39459,36.2059290664589,12,9
2400527,29,8,1-29-2024-008-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,13279,495.342811614364,2,9
2400535,77,16,1-77-2024-016-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4533,116.650917615877,9,9
2400529,27,18,1-27-2024-018-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,13163,47.6279948664491,3,9
2400538,20,12,1-20-2024-012-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,15214,71.8583094019882,11,9
2400476,11,10,1-11-2024-010-03,3,1,1,5,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4640,177.14570109594,8,9
2400477,11,11,1-11-2024-011-04,4,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,1576,649.602537945758,8,9
2400553,77,17,1-77-2024-017-05,5,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,14199,90.6570748528622,9,9
2400545,81,14,1-81-2024-014-02,2,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5954,28.5268950366683,8,9
2400554,77,18,1-77-2024-018-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,11868,578.824092897886,9,9
2400547,59,19,1-59-2024-019-04,4,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,105.325659634205,6,9
2400551,10,8,1-10-2024-008-01,1,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,310,78.4498878232952,4,9
2400556,77,20,1-77-2024-020-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5378,114.553202113012,9,9
2400548,59,20,1-59-2024-020-07,7,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,347.96042207525,6,9
2400568,73,16,1-73-2024-016-06,6,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,9317,37.0946854309253,3,9
2400549,59,21,1-59-2024-021-04,4,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,837,105.325659634205,6,9
2400541,23,9,1-23-2024-009-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,12511,341.793285163894,5,9
2400568,73,16,1-73-2024-016-06,6,2,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,12342,37.0946854309253,3,9
2400565,48,21,1-48-2024-021-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4543,54.9604072040948,12,9
2400569,73,17,1-73-2024-017-04,4,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,42.0002530809935,3,9
2400566,48,22,1-48-2024-022-07,7,2,1,1,E-N-K-01-00-0056,EDR001-R01,1,6840,630.467870665179,12,9
2400558,62,17,1-62-2024-017-01,1,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,98.4303935828124,7,9
2400560,18,18,1-18-2024-018-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4648,34.6070615401308,6,9
2400561,18,19,1-18-2024-019-07,7,2,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4461,950.591365303636,6,9
2400571,73,19,1-73-2024-019-06,6,2,1,4,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,12005,37.0946854309253,3,9
