CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,PBTYPE,PBAGE,PBSEX,PEDCTYPE,PEDCGP,PEDLOC,PEDPOS,PEDDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,BIKECTYPE,BIKECGP,BIKELOC,BIKEPOS,BIKEDIR,CASEWGT,PSUSTRAT,VERSION
2405348,15,204,1-15-2024-204-NM2,22,1,11,21,1,760,750,1,1,9,3,3,2,4d,0,0,7,7,7,95.8031442610112,1,9
2406219,15,242,1-15-2024-242-NM2,22,1,5,30,2,781,790,1,2,1,1,1,2,11a,0,0,7,7,7,30.3797729398406,1,9
2406373,10,131,1-10-2024-131-NM2,22,1,6,12,1,0,0,7,77,7,7,7,7,7,213,215,1,3,1,47.9403529530355,4,9
2404354,12,79,1-12-2024-079-NM2,22,1,6,72,1,0,0,7,77,7,7,7,7,7,280,290,3,1,9,719.957760795501,9,9
2404012,32,127,1-32-2024-127-NM1,21,1,6,14,2,0,0,7,77,7,7,7,7,7,380,190,3,3,3,81.1432128652192,7,9
2404327,16,113,1-16-2024-113-NM1,21,1,5,15,2,150,100,2,5,9,4,3,2,4d,0,0,7,7,7,55.2220906582399,5,9
2404117,24,116,1-24-2024-116-NM2,22,1,6,37,1,0,0,7,77,7,7,7,7,7,970,990,3,1,3,150.695729579903,1,9
2404586,25,121,1-25-2024-121-NM2,22,1,6,999,1,0,0,7,77,7,7,7,7,7,280,290,3,1,1,117.391789482128,2,9
2404311,19,58,1-19-2024-058-NM1,21,1,5,49,1,910,910,3,3,8,8,8,8,8,0,0,7,7,7,58.1964149408969,9,9
2404042,29,53,1-29-2024-053-NM2,22,1,6,72,1,0,0,7,77,7,7,7,7,7,211,210,1,1,1,480.123684005821,2,9
2404100,20,107,1-20-2024-107-NM1,21,1,5,30,2,760,750,3,3,8,8,8,8,8,0,0,7,7,7,44.2957867500321,11,9
2404045,81,98,1-81-2024-098-NM1,21,1,5,48,1,680,990,3,4,8,8,8,8,8,0,0,7,7,7,74.6147978501919,8,9
2404140,15,164,1-15-2024-164-NM2,22,1,5,70,2,341,340,1,2,4,3,3,2,3a,0,0,7,7,7,26.3765495179532,1,9
2404064,73,113,1-73-2024-113-NM2,22,1,6,67,1,0,0,7,77,7,7,7,7,7,239,230,3,2,1,537.853972469241,3,9
