CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
2405169,73,132,1-73-2024-132-10,10,1,1,1,7,0.00,9994.00,7,8,9995.00,9995.00,9994.00,9997.00,9997.00,0,7,7,0,0.00,9994.00,7,8,9995.00,9995.00,9994.00,9997.00,9997.00,7,7,7,167.518178572804,3,9
2401480,77,49,1-77-2024-049-06,6,1,1,1,1,45.00,9995.00,7,8,9995.00,9995.00,6.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,6.00,9997.00,9997.00,7,0,7,445.668209705361,9,9
2402395,77,83,1-77-2024-083-03,3,1,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,0,7,78.5516932728452,9,9
2403174,77,109,1-77-2024-109-05,5,2,1,1,0,22.00,9995.00,7,8,9995.00,46.00,22.00,22.00,22.00,7,7,7,0,9995.00,9995.00,1,8,46.00,46.00,22.00,22.00,22.00,7,0,7,90.6570748528622,9,9
2405262,81,134,1-81-2024-134-06,6,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,0,7,2358.63059187213,8,9
2403264,28,97,1-28-2024-097-03,3,2,1,1,0,10.00,14.00,7,0,9995.00,9995.00,9995.00,9997.00,9997.00,8,8,7,1,10.00,14.00,7,0,37.00,37.00,10.00,9997.00,9997.00,8,5,7,28.3089754479373,3,9
2400074,77,2,1-77-2024-002-07,7,1,1,1,1,0.00,0.00,7,0,0.00,0.00,0.00,9997.00,9997.00,0,7,7,1,0.00,0.00,0,0,0.00,0.00,0.00,9997.00,9997.00,7,7,7,7758.83172262348,9,9
2405881,77,188,1-77-2024-188-02,2,1,1,1,1,26.00,46.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,0,26.00,126.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,1,7,83.1566199866033,9,9
2401533,79,32,1-79-2024-032-04,4,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,8888.00,8888.00,1,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,5,7,213.632193597411,8,9
2403001,60,34,1-60-2024-034-05,5,1,1,1,1,9997.00,9997.00,7,0,250.00,250.00,250.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,0,9997.00,250.00,9997.00,9997.00,9997.00,7,1,7,159.277487034842,8,9
2404404,62,127,1-62-2024-127-02,2,2,1,3,1,9995.00,9995.00,7,8,9997.00,9995.00,9997.00,9999.00,9997.00,0,7,7,1,9995.00,9997.00,7,8,9995.00,9997.00,9997.00,9997.00,9997.00,0,5,7,153.229271867661,7,9
