CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
2402060,19,29,1-19-2024-029-05,5,2,4,1,23,13,98,9998,99999999,2,9999999999,2,2,2,2,1,0,0,2,2,0,0,3,0,1,1,4,1,1,1,98.7930647556001,9,9
2402074,66,48,1-66-2024-048-03,3,1,2,1,23,12,18,2061,99999999,2,9999999999,9,5,2,9,9,9,9,5,3,2,9,9,9,1,9,9,9,1,1,79.4686416678806,6,9
2402076,66,50,1-66-2024-050-04,4,2,3,1,23,41,64,6058,99999999,6,9999999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,9,1,1,9,114.973892842,6,9
2402104,52,30,1-52-2024-030-06,6,1,2,1,21,98,98,9998,99999999,99,9999999999,9,2,2,9,9,9,9,2,3,1,3,3,0,1,1,4,1,1,1,56.6465719357727,12,9
2402104,52,30,1-52-2024-030-06,6,1,3,2,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,4,3,1,3,3,0,1,1,5,1,1,1,56.6465719357727,12,9
2402167,48,71,1-48-2024-071-07,7,1,2,1,21,13,23,4011,1948314,4,03/25/2020,2,2,2,2,1,1,1,2,3,1,1,3,9,1,1,1,0,1,1,463.276379422285,12,9
2402181,69,42,1-69-2024-042-03,3,3,3,1,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,50.4787572129909,8,9
2402236,11,56,1-11-2024-056-03,3,2,3,1,21,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,89.3897343071386,8,9
2402236,11,56,1-11-2024-056-03,3,2,2,2,23,98,98,9998,99999999,99,9999999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,89.3897343071386,8,9
2402295,62,58,1-62-2024-058-03,3,1,3,1,21,10,16,4008,CC169-DDL,4,05/21/2015,1,1,1,2,1,0,1,4,9,0,3,9,0,1,9,5,1,1,1,418.15320145516,7,9
2402296,62,59,1-62-2024-059-03,3,1,2,1,21,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,418.153201529593,7,9
2402296,62,59,1-62-2024-059-03,3,1,3,2,23,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,418.153201529593,7,9
2402351,32,82,1-32-2024-082-02,2,1,2,1,21,4,4,5042,E1C192X,5,11/11/2022,2,1,2,2,1,1,1,9,9,9,9,9,9,1,1,4,1,1,1,8.40925917720626,7,9
2402354,32,85,1-32-2024-085-02,2,2,4,1,22,98,98,9998,99999999,99,9999999999,9,5,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.40925917459616,7,9
