CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,TRAJCLASS,TRAJTYPE,TRAJCONF,EVIDSPEED,EVIDBRAKE,EVIDSTEERING,EVIDFRP,EVIDSTATURE,EVIDVEHPROFILE,EVIDCORNER,EVIDINITORIENT,EVIDAVOID,EVIDVIDEO,EVIDWITNESS,EVIDEXPERIMENT,EVIDSIM,EVIDOTHER,CASEWGT,PSUSTRAT,VERSION
2406259,30,213,1-30-2024-213-NM1,21,1,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,70.0679338170937,10,9
2406259,30,213,1-30-2024-213-NM1,21,1,2,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,70.0679338170937,10,9
2403305,10,52,1-10-2024-052-NM1,21,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.5486424740169,4,9
2405432,69,136,1-69-2024-136-NM1,21,1,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.66811372485411,8,9
2403660,10,59,1-10-2024-059-NM2,22,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,271.413807736263,4,9
2403660,10,59,1-10-2024-059-NM2,22,1,2,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,271.413807736263,4,9
2405575,11,166,1-11-2024-166-NM2,22,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994.3486165726,8,9
2405575,11,166,1-11-2024-166-NM2,22,1,2,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1994.3486165726,8,9
2401788,69,33,1-69-2024-033-NM1,21,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.66811372485411,8,9
2401788,69,33,1-69-2024-033-NM1,21,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66811372485411,8,9
2404542,10,84,1-10-2024-084-NM2,22,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,303.372657865986,4,9
2401098,10,16,1-10-2024-016-NM1,21,1,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,31.3806248143146,4,9
2401098,10,16,1-10-2024-016-NM1,21,1,2,8,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,31.3806248143146,4,9
2401098,10,16,1-10-2024-016-NM1,21,2,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,31.3806248143146,4,9
2401098,10,16,1-10-2024-016-NM1,21,2,2,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,31.3806248143146,4,9
2406065,79,118,1-79-2024-118-NM1,21,1,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,131.970085856043,8,9
