CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,DEVICE,MOTORIZATION,NUMWHEELS,FRONTREFLECT_CLEAR,FRONTREFLECT_RED,FRONTREFLECT_AMBER,FRONTREFLECT_OTH,SIDEREFLECT_CLEAR,SIDEREFLECT_RED,SIDEREFLECT_AMBER,SIDEREFLECT_OTH,REARREFLECT_CLEAR,REARREFLECT_RED,REARREFLECT_AMBER,REARREFLECT_OTH,FRONTLIGHT_CLEAR,FRONTLIGHT_RED,FRONTLIGHT_AMBER,FRONTLIGHT_OTH,REARLIGHT_CLEAR,REARLIGHT_RED,REARLIGHT_AMBER,REARLIGHT_OTH,LIGHTFLASH,CASEWGT,PSUSTRAT,VERSION
2406343,11,191,1-11-2024-191-NM1,21,1,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37.1071357763572,8,9
2404706,11,142,1-11-2024-142-NM1,21,1,3,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.1071357763572,8,9
2402307,30,81,1-30-2024-081-NM1,21,1,3,3,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,70.0679338170937,10,9
2406194,82,169,1-82-2024-169-NM2,22,1,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,291.351098901355,1,9
2401487,59,47,1-59-2024-047-NM2,22,1,3,1,2,1,0,0,0,9,9,9,9,9,9,9,9,1,0,0,0,9,9,9,9,1,122.869992801552,6,9
2403193,30,111,1-30-2024-111-NM1,21,1,3,3,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,39.9148366584821,10,9
2406110,22,186,1-22-2024-186-NM2,22,1,3,3,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,94.6557465142525,12,9
2400514,15,18,1-15-2024-018-NM2,22,1,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,48.0070740321826,1,9
2401842,22,56,1-22-2024-056-NM2,22,1,3,1,2,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,24.4305122731702,12,9
2404235,26,108,1-26-2024-108-NM1,21,1,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,41.696402482386,10,9
2406373,10,131,1-10-2024-131-NM2,22,1,3,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,47.9403529530355,4,9
2402738,32,98,1-32-2024-098-NM1,21,1,3,3,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,72.5717518696977,7,9
2405348,15,204,1-15-2024-204-NM2,22,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,95.8031442610112,1,9
2402990,32,105,1-32-2024-105-NM2,22,1,3,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,564.925282878733,7,9
2404218,24,120,1-24-2024-120-NM2,22,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,253.744000679976,1,9
2405354,29,91,1-29-2024-091-NM2,22,1,3,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,400.603383200049,2,9
2405354,29,91,1-29-2024-091-NM2,22,2,3,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,400.603383200049,2,9
2400574,13,13,1-13-2024-013-NM1,21,1,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3827604184312,7,9
2404890,30,167,1-30-2024-167-NM2,22,1,3,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,814.767720370494,10,9
2402589,33,42,1-33-2024-042-NM2,22,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,361.093515754961,12,9
2402755,26,80,1-26-2024-080-NM1,21,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,25.7030205312635,10,9
2402114,22,63,1-22-2024-063-NM2,22,1,3,3,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,82.628551642103,12,9
