CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
2403222,25,82,1-25-2024-082-03,3,3,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,218.616726516573,2,9
2401702,26,44,1-26-2024-044-03,3,1,LR,89,SOLUS TA31,P205/55R16,000LMYAY1,7,0,1,128.240497755438,10,9
2401702,26,44,1-26-2024-044-03,3,1,RF,89,SOLUS TA31,P205/55R16,000LMYAY1,5,1,1,128.240497755438,10,9
2401207,16,38,1-16-2024-038-05,5,2,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,15.6592746300539,5,9
2401207,16,38,1-16-2024-038-05,5,2,RF,999,Unknown,UNKNOWN,9999999999999,99,0,9,15.6592746300539,5,9
2401207,16,38,1-16-2024-038-05,5,2,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,15.6592746300539,5,9
2401207,16,38,1-16-2024-038-05,5,2,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,15.6592746300539,5,9
2402953,30,103,1-30-2024-103-05,5,1,RF,129,Scorpion Verde,P235/60R18,93K3 T8990821,3,0,1,43.1584302855262,10,9
2402953,30,103,1-30-2024-103-05,5,1,RR,129,Scorpion Verde,P235/60R18,93K3 T8991921,4,0,1,43.1584302855262,10,9
2402953,30,103,1-30-2024-103-05,5,1,LR,129,Scorpion Verde,P235/60R18,93K3 T8991721,4,0,1,43.1584302855262,10,9
2400543,57,11,1-57-2024-011-05,5,1,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,10.3384940041349,1,9
2400543,57,11,1-57-2024-011-05,5,1,RF,999,Unknown,UNKNOWN,9999999999999,99,0,9,10.3384940041349,1,9
2400543,57,11,1-57-2024-011-05,5,1,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,10.3384940041349,1,9
2400543,57,11,1-57-2024-011-05,5,1,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,10.3384940041349,1,9
2404356,12,81,1-12-2024-081-03,3,1,LF,129,Scorpion Verde,P265/50R20,UNKB R5420624,9,0,1,188.310944180204,9,9
2404356,12,81,1-12-2024-081-03,3,1,RF,129,Scorpion Verde,P265/50R20,UNKB R5420924,9,0,1,188.310944180204,9,9
2400158,73,6,1-73-2024-006-06,6,1,LR,66,ALTIMAX ARCTIC 12,P225/65R17,CP2Y WCFW,3,0,1,61.3505113045855,3,9
2403647,11,108,1-11-2024-108-03,3,3,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,114.198903719813,8,9
2401206,31,25,1-31-2024-025-NM2,22,1,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,197.377933176122,6,9
2401206,31,25,1-31-2024-025-NM2,22,1,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,197.377933176122,6,9
2400204,54,9,1-54-2024-009-05,5,2,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,144.976226836895,9,9
2400321,19,8,1-19-2024-008-05,5,2,LF,999,Unknown,UNKNOWN,#####,99,0,9,49.1552833588875,9,9
2400321,19,8,1-19-2024-008-05,5,2,RF,999,Unknown,UNKNOWN,#####,99,1,9,49.1552833588875,9,9
2400321,19,8,1-19-2024-008-05,5,2,LR,999,Unknown,UNKNOWN,#####,99,0,9,49.1552833588875,9,9
2403026,31,61,1-31-2024-061-07,7,1,LF,129,four seasons,P205/60R16,XLF0 671A3417,2,0,1,230.868935151332,6,9
2401821,32,66,1-32-2024-066-02,2,2,RF,89,SOLUS,P205/55R16,000LMYAY1####,4,0,1,17.1247047795289,7,9
2401698,66,41,1-66-2024-041-09,9,1,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,97.5596917228585,6,9
2401034,32,32,1-32-2024-032-06,6,1,LF,89,Solus TA 31,P215/55R17,Y099 YAY1,7,0,1,767.283771020163,7,9
2401034,32,32,1-32-2024-032-06,6,1,LR,89,Solus TA 31,P215/55R17,Y099 YAY1,6,0,1,767.283771020163,7,9
2401034,32,32,1-32-2024-032-06,6,1,RR,89,Solus TA 31,P215/55R17,Y099 YAY1,6,0,1,767.283771020163,7,9
2401483,77,52,1-77-2024-052-03,3,2,RR,209,DESERT HAWK H/T 2,P235/65R17,15K2YH1H1,8,0,1,88.2007524015232,9,9
2401088,23,18,1-23-2024-018-06,6,1,LF,999,Unknown,UNKNOWN,9999999999999,99,9,9,763.863599221831,5,9
2401088,23,18,1-23-2024-018-06,6,1,RF,999,Unknown,UNKNOWN,9999999999999,99,9,9,763.863599221831,5,9
