CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VEHFACTORTYPE,VEHFACTOR,CASEWGT,PSUSTRAT,VERSION
2405448,60,86,1-60-2024-086-NM1,21,1,4,4008,43.22330010499,8,9
2405527,48,179,1-48-2024-179-NM1,21,1,4,4012,85.8427679861707,12,9
2406389,29,113,1-29-2024-113-NM1,21,1,4,4098,107.444469820023,2,9
2400112,28,2,1-28-2024-002-NM2,22,1,5,5002,55.8454658150129,3,9
2400111,16,3,1-16-2024-003-NM2,22,1,5,5001,1277.06637139415,5,9
2400118,69,3,1-69-2024-003-NM1,21,1,5,5001,7.66811372485411,8,9
2400470,30,16,1-30-2024-016-NM2,22,1,5,5001,614.931666902505,10,9
2400625,60,9,1-60-2024-009-NM1,21,1,5,5001,140.53984277194,8,9
2400684,59,25,1-59-2024-025-NM2,22,1,5,5002,264.2527724963,6,9
2400447,67,5,1-67-2024-005-NM2,22,1,5,5001,483.798087598719,7,9
2401085,77,38,1-77-2024-038-NM2,22,1,5,5008,297.636915073691,9,9
2401306,26,31,1-26-2024-031-NM1,21,1,5,5001,25.7030205312635,10,9
2401592,28,42,1-28-2024-042-NM2,22,1,5,5001,37.9334438090452,3,9
2401592,28,42,1-28-2024-042-NM2,22,1,5,5003,37.9334438090452,3,9
2401755,81,34,1-81-2024-034-NM1,21,1,5,5001,46.909790827141,8,9
2401844,26,46,1-26-2024-046-NM1,21,2,5,5001,25.7030205312635,10,9
2402090,16,59,1-16-2024-059-NM1,21,1,5,5003,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,2,5,5003,19.3635256654646,5,9
2401665,24,37,1-24-2024-037-NM2,22,1,5,5001,87.1884768897586,1,9
2402344,16,69,1-16-2024-069-NM1,21,1,5,5001,26.1808531062603,5,9
2401615,59,51,1-59-2024-051-NM2,22,1,5,5001,173.711917950995,6,9
2402243,15,87,1-15-2024-087-NM2,22,1,5,5001,35.7446223566179,1,9
2402515,22,71,1-22-2024-071-NM2,22,1,5,5001,85.2845477308788,12,9
2403218,16,96,1-16-2024-096-NM1,21,1,5,5001,19.3635256654646,5,9
2402868,32,101,1-32-2024-101-NM1,21,1,5,5001,21.5942405462542,7,9
2403715,25,97,1-25-2024-097-NM2,22,1,5,5001,209.921679437629,2,9
2404592,11,140,1-11-2024-140-NM1,21,1,5,5001,37.1071357763572,8,9
2405120,22,154,1-22-2024-154-NM2,22,1,5,5001,64.1408737687855,12,9
2405444,17,180,1-17-2024-180-NM2,22,1,5,5001,245.767819800364,4,9
2405527,48,179,1-48-2024-179-NM1,21,1,5,5001,85.8427679861707,12,9
2405998,20,141,1-20-2024-141-NM1,21,1,5,5003,35.0220589332575,11,9
2406001,81,158,1-81-2024-158-NM2,22,2,5,5001,1666.588526805,8,9
2406229,81,163,1-81-2024-163-NM1,21,2,5,5001,20.2135532866767,8,9
2400448,82,13,1-82-2024-013-NM2,22,1,6,6001,387.535062825824,1,9
2401724,22,52,1-22-2024-052-NM2,22,1,6,6001,30.6635507189318,12,9
2401339,59,43,1-59-2024-043-NM2,22,1,6,6001,260.431399312795,6,9
2400846,82,22,1-82-2024-022-NM2,22,1,6,6001,774.715121583303,1,9
2400683,59,24,1-59-2024-024-NM1,21,1,6,6001,62.3822922049643,6,9
2402702,20,77,1-20-2024-077-NM2,22,1,6,6001,87.941289186377,11,9
2403346,24,92,1-24-2024-092-NM1,21,1,6,6001,23.1726143074507,1,9
2405972,21,146,1-21-2024-146-NM1,21,1,2,2005,9.08918343004306,11,9
2401724,22,52,1-22-2024-052-NM2,22,1,2,2017,30.6635507189318,12,9
2404943,24,137,1-24-2024-137-NM2,22,1,2,2017,103.775968566411,1,9
2405049,30,174,1-30-2024-174-NM1,21,1,2,2092,35.2170995864478,10,9
2405819,60,98,1-60-2024-098-NM1,21,1,2,2013,43.22330010499,8,9
2405993,29,104,1-29-2024-104-NM1,21,1,2,2017,46.066249775962,2,9
2405242,17,171,1-17-2024-171-NM2,22,1,2,2097,85.8489914277837,4,9
2405381,22,165,1-22-2024-165-NM2,22,1,2,2017,86.2407444911639,12,9
2405594,27,174,1-27-2024-174-NM2,22,1,2,2093,41.6395308351094,3,9
2405228,82,149,1-82-2024-149-NM2,22,1,2,2019,530.041651146454,1,9
2406110,22,186,1-22-2024-186-NM2,22,1,2,2092,94.6557465142525,12,9
2402114,22,63,1-22-2024-063-NM2,22,1,2,2010,82.628551642103,12,9
2406281,52,63,1-52-2024-063-NM2,22,1,2,2017,99.7929570162416,12,9
2406323,14,132,1-14-2024-132-NM2,22,1,2,2017,464.271661627575,8,9
2406376,20,151,1-20-2024-151-NM2,22,1,2,2012,1093.0659222961,11,9
2402140,77,71,1-77-2024-071-NM1,21,1,2,2098,113.21347390618,9,9
2400683,59,24,1-59-2024-024-NM1,21,1,2,2009,62.3822922049643,6,9
2402638,82,63,1-82-2024-063-NM2,22,1,2,2098,317.115950685831,1,9
2402420,48,79,1-48-2024-079-NM1,21,1,2,2092,85.8427679861707,12,9
2405729,82,163,1-82-2024-163-NM2,22,1,2,2017,2077.73112331519,1,9
2400048,60,1,1-60-2024-001-NM2,22,1,3,3006,157.912873387776,8,9
2400048,60,1,1-60-2024-001-NM2,22,1,3,3010,157.912873387776,8,9
2400079,59,5,1-59-2024-005-NM2,22,1,3,3038,326.257763636632,6,9
2400079,59,5,1-59-2024-005-NM2,22,1,3,3039,326.257763636632,6,9
2400079,59,5,1-59-2024-005-NM2,22,1,3,3041,326.257763636632,6,9
2400488,57,9,1-57-2024-009-NM1,21,1,3,3010,15.1868109907281,1,9
2400248,22,4,1-22-2024-004-NM2,22,1,3,3010,105.99041920132,12,9
2400846,82,22,1-82-2024-022-NM2,22,1,3,3010,774.715121583303,1,9
2400846,82,22,1-82-2024-022-NM2,22,1,3,3038,774.715121583303,1,9
