CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VEHFACTORTYPE,VEHFACTOR,CASEWGT,PSUSTRAT,VERSION
2400514,15,18,1-15-2024-018-NM2,22,1,3,3038,48.0070740321826,1,9
2401143,30,39,1-30-2024-039-NM2,22,1,3,3010,269.894765505706,10,9
2400830,77,27,1-77-2024-027-NM2,22,1,3,3038,330.223105550016,9,9
2401750,57,33,1-57-2024-033-NM1,21,1,3,3052,38.5305215581579,1,9
2401442,26,39,1-26-2024-039-NM1,21,2,3,3054,25.7030205312635,10,9
2401790,81,35,1-81-2024-035-NM1,21,1,3,3006,46.909790827141,8,9
2400847,82,23,1-82-2024-023-NM2,22,1,3,3006,774.715121490359,1,9
2400847,82,23,1-82-2024-023-NM2,22,1,3,3031,774.715121490359,1,9
2401084,77,37,1-77-2024-037-NM2,22,1,3,3028,297.636915073691,9,9
2401844,26,46,1-26-2024-046-NM1,21,2,3,3038,25.7030205312635,10,9
2401844,26,46,1-26-2024-046-NM1,21,2,3,3039,25.7030205312635,10,9
2401844,26,46,1-26-2024-046-NM1,21,2,3,3087,25.7030205312635,10,9
2400729,32,21,1-32-2024-021-NM1,21,1,7,7008,10.924164677076,7,9
