CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,CONFLICTNO,VEHNO,CONTACT,CASEWGT,PSUSTRAT,VERSION
2406132,10,129,1-10-2024-129-NM1,21,1,2,1,A,31.3806248143146,4,9
2406132,10,129,1-10-2024-129-NM1,21,1,2,1,B,31.3806248143146,4,9
2401206,31,25,1-31-2024-025-NM2,22,1,1,1,A,197.377933176122,6,9
2401206,31,25,1-31-2024-025-NM2,22,1,1,1,B,197.377933176122,6,9
2401206,31,25,1-31-2024-025-NM2,22,1,2,1,C,197.377933176122,6,9
2403198,33,54,1-33-2024-054-NM1,21,1,2,1,C,55.7364737376608,12,9
2403198,33,54,1-33-2024-054-NM1,21,1,2,1,F,55.7364737376608,12,9
2403198,33,54,1-33-2024-054-NM1,21,1,3,1,D,55.7364737376608,12,9
2405854,29,101,1-29-2024-101-NM2,22,1,2,1,A,1234.79079181352,2,9
2403524,21,72,1-21-2024-072-NM1,21,2,2,1,B,9.710167648307,11,9
2404827,25,127,1-25-2024-127-NM1,21,1,1,1,A,46.3961698932894,2,9
2404827,25,127,1-25-2024-127-NM1,21,1,1,1,B,46.3961698932894,2,9
2404827,25,127,1-25-2024-127-NM1,21,1,1,1,C,46.3961698932894,2,9
2404827,25,127,1-25-2024-127-NM1,21,1,3,1,D,46.3961698932894,2,9
2405491,22,168,1-22-2024-168-NM2,22,1,2,1,A,63.7015832881093,12,9
2403198,33,54,1-33-2024-054-NM1,21,1,3,1,E,55.7364737376608,12,9
2403198,33,54,1-33-2024-054-NM1,21,1,4,1,G,55.7364737376608,12,9
2403198,33,54,1-33-2024-054-NM1,21,2,1,1,A,55.7364737376608,12,9
2403198,33,54,1-33-2024-054-NM1,21,2,1,1,B,55.7364737376608,12,9
2403198,33,54,1-33-2024-054-NM1,21,2,2,1,H,55.7364737376608,12,9
2403524,21,72,1-21-2024-072-NM1,21,1,2,1,A,9.710167648307,11,9
2401183,22,34,1-22-2024-034-NM2,22,1,2,1,A,24.4305122731702,12,9
2403175,10,48,1-10-2024-048-NM2,22,1,2,1,A,917.555786243938,4,9
2405096,32,144,1-32-2024-144-NM1,21,1,1,1,B,65.0700959465246,7,9
2405096,32,144,1-32-2024-144-NM1,21,1,1,1,C,65.0700959465246,7,9
2405096,32,144,1-32-2024-144-NM1,21,1,1,1,A,65.0700959465246,7,9
2405096,32,144,1-32-2024-144-NM1,21,1,2,1,D,65.0700959465246,7,9
2405167,57,157,1-57-2024-157-NM1,21,1,2,1,C,19.2604769426058,1,9
2405167,57,157,1-57-2024-157-NM1,21,1,2,1,D,19.2604769426058,1,9
2405167,57,157,1-57-2024-157-NM1,21,1,3,1,E,19.2604769426058,1,9
2405167,57,157,1-57-2024-157-NM1,21,1,4,1,F,19.2604769426058,1,9
2405096,32,144,1-32-2024-144-NM1,21,1,3,1,E,65.0700959465246,7,9
2405096,32,144,1-32-2024-144-NM1,21,1,4,1,F,65.0700959465246,7,9
2405096,32,144,1-32-2024-144-NM1,21,1,4,1,G,65.0700959465246,7,9
2405096,32,144,1-32-2024-144-NM1,21,1,5,1,H,65.0700959465246,7,9
2405167,57,157,1-57-2024-157-NM1,21,1,1,1,B,19.2604769426058,1,9
2405167,57,157,1-57-2024-157-NM1,21,1,1,1,A,19.2604769426058,1,9
2401718,21,32,1-21-2024-032-NM2,22,1,1,1,A,2513.96756463306,11,9
2401718,21,32,1-21-2024-032-NM2,22,1,2,1,B,2513.96756463306,11,9
2403378,16,98,1-16-2024-098-NM1,21,1,1,1,A,23.4984908001716,5,9
2403378,16,98,1-16-2024-098-NM1,21,1,1,1,B,23.4984908001716,5,9
2403378,16,98,1-16-2024-098-NM1,21,1,1,1,C,23.4984908001716,5,9
2403378,16,98,1-16-2024-098-NM1,21,1,1,1,D,23.4984908001716,5,9
2403378,16,98,1-16-2024-098-NM1,21,1,1,1,E,23.4984908001716,5,9
2403378,16,98,1-16-2024-098-NM1,21,1,1,1,F,23.4984908001716,5,9
2403378,16,98,1-16-2024-098-NM1,21,1,2,1,G,23.4984908001716,5,9
2403378,16,98,1-16-2024-098-NM1,21,1,3,1,H,23.4984908001716,5,9
2402952,30,102,1-30-2024-102-NM1,21,1,2,2,A,73.645145385009,10,9
2401755,81,34,1-81-2024-034-NM1,21,1,2,1,A,46.909790827141,8,9
2401755,81,34,1-81-2024-034-NM1,21,1,3,1,B,46.909790827141,8,9
2401755,81,34,1-81-2024-034-NM1,21,1,3,1,C,46.909790827141,8,9
2401755,81,34,1-81-2024-034-NM1,21,1,4,1,E,46.909790827141,8,9
2401755,81,34,1-81-2024-034-NM1,21,1,1,1,D,46.909790827141,8,9
2404658,81,117,1-81-2024-117-NM1,21,1,1,2,A,26.5893987350207,8,9
2404658,81,117,1-81-2024-117-NM1,21,1,1,2,B,26.5893987350207,8,9
2404658,81,117,1-81-2024-117-NM1,21,1,1,2,C,26.5893987350207,8,9
2404658,81,117,1-81-2024-117-NM1,21,1,1,2,D,26.5893987350207,8,9
2404658,81,117,1-81-2024-117-NM1,21,1,1,2,E,26.5893987350207,8,9
2404658,81,117,1-81-2024-117-NM1,21,1,2,2,F,26.5893987350207,8,9
2404658,81,117,1-81-2024-117-NM1,21,1,3,2,G,26.5893987350207,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,1,1,A,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,1,1,D,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,1,1,F,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,2,1,C,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,3,1,E,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,4,1,B,7.66811372485411,8,9
2405551,33,106,1-33-2024-106-NM1,21,1,1,1,C,41.0900179301514,12,9
2405551,33,106,1-33-2024-106-NM1,21,1,2,1,A,41.0900179301514,12,9
2405551,33,106,1-33-2024-106-NM1,21,1,3,1,B,41.0900179301514,12,9
2405551,33,106,1-33-2024-106-NM1,21,1,4,1,E,41.0900179301514,12,9
2402989,32,104,1-32-2024-104-NM1,21,1,2,1,A,11.6164138708606,7,9
2402989,32,104,1-32-2024-104-NM1,21,1,3,1,B,11.6164138708606,7,9
2402989,32,104,1-32-2024-104-NM1,21,1,3,1,C,11.6164138708606,7,9
2402989,32,104,1-32-2024-104-NM1,21,1,3,1,D,11.6164138708606,7,9
2402989,32,104,1-32-2024-104-NM1,21,1,5,1,E,11.6164138708606,7,9
2402256,21,45,1-21-2024-045-NM1,21,1,2,1,A,17.4486412062215,11,9
2404764,33,92,1-33-2024-092-NM2,22,1,2,1,A,355.828360472917,12,9
2405846,15,225,1-15-2024-225-NM2,22,1,3,1,A,31.8783964598429,1,9
2401615,59,51,1-59-2024-051-NM2,22,1,2,1,A,173.711917950995,6,9
2405353,29,90,1-29-2024-090-NM2,22,1,2,1,A,400.603383200049,2,9
2405353,29,90,1-29-2024-090-NM2,22,1,2,1,B,400.603383200049,2,9
2405353,29,90,1-29-2024-090-NM2,22,1,3,1,C,400.603383200049,2,9
2401143,30,39,1-30-2024-039-NM2,22,1,2,1,A,269.894765505706,10,9
2403799,69,82,1-69-2024-082-NM1,21,1,1,1,F,12.0111452927932,8,9
2403799,69,82,1-69-2024-082-NM1,21,1,1,1,G,12.0111452927932,8,9
2403799,69,82,1-69-2024-082-NM1,21,1,2,1,A,12.0111452927932,8,9
2403799,69,82,1-69-2024-082-NM1,21,1,2,1,B,12.0111452927932,8,9
2403799,69,82,1-69-2024-082-NM1,21,1,2,1,H,12.0111452927932,8,9
2403799,69,82,1-69-2024-082-NM1,21,1,2,1,I,12.0111452927932,8,9
2403799,69,82,1-69-2024-082-NM1,21,1,3,1,C,12.0111452927932,8,9
2403799,69,82,1-69-2024-082-NM1,21,1,3,1,D,12.0111452927932,8,9
2403799,69,82,1-69-2024-082-NM1,21,1,3,1,E,12.0111452927932,8,9
2403799,69,82,1-69-2024-082-NM1,21,1,4,1,J,12.0111452927932,8,9
2401286,52,17,1-52-2024-017-NM2,22,1,2,1,A,35.2372312111538,12,9
2402090,16,59,1-16-2024-059-NM1,21,1,1,1,A,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,1,1,B,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,2,1,C,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,3,1,D,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,3,1,E,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,3,1,F,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,6,2,F,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,7,1,I,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,8,2,H,19.3635256654646,5,9
2402754,26,79,1-26-2024-079-NM2,22,1,1,1,A,1030.55932741376,10,9
2402754,26,79,1-26-2024-079-NM2,22,1,2,1,B,1030.55932741376,10,9
2402090,16,59,1-16-2024-059-NM1,21,1,3,1,G,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,4,2,A,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,4,2,B,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,4,2,D,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,4,2,G,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,1,5,2,E,19.3635256654646,5,9
2401306,26,31,1-26-2024-031-NM1,21,1,1,1,B,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,1,1,C,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,1,1,E,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,2,1,F,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,3,1,A,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,3,1,D,25.7030205312635,10,9
2401306,26,31,1-26-2024-031-NM1,21,1,4,1,H,25.7030205312635,10,9
2403370,32,117,1-32-2024-117-NM1,21,1,2,1,A,24.6793297433215,7,9
2405485,30,188,1-30-2024-188-NM1,21,1,1,2,A,122.593345242516,10,9
2405485,30,188,1-30-2024-188-NM1,21,1,1,2,B,122.593345242516,10,9
2405485,30,188,1-30-2024-188-NM1,21,1,1,2,C,122.593345242516,10,9
2405485,30,188,1-30-2024-188-NM1,21,1,1,2,D,122.593345242516,10,9
2405485,30,188,1-30-2024-188-NM1,21,1,1,2,E,122.593345242516,10,9
2405485,30,188,1-30-2024-188-NM1,21,1,2,2,F,122.593345242516,10,9
2404160,25,110,1-25-2024-110-NM2,22,1,1,1,A,217.706177804094,2,9
2404160,25,110,1-25-2024-110-NM2,22,1,1,1,B,217.706177804094,2,9
2404160,25,110,1-25-2024-110-NM2,22,1,1,1,C,217.706177804094,2,9
2404160,25,110,1-25-2024-110-NM2,22,1,2,1,D,217.706177804094,2,9
2404652,30,158,1-30-2024-158-NM2,22,1,2,1,A,415.467981801604,10,9
2405242,17,171,1-17-2024-171-NM2,22,1,1,1,A,85.8489914277837,4,9
2405242,17,171,1-17-2024-171-NM2,22,1,2,1,B,85.8489914277837,4,9
2405316,24,148,1-24-2024-148-NM1,21,1,1,1,A,23.1726143074507,1,9
2405316,24,148,1-24-2024-148-NM1,21,1,1,1,B,23.1726143074507,1,9
2405316,24,148,1-24-2024-148-NM1,21,1,1,1,C,23.1726143074507,1,9
2405316,24,148,1-24-2024-148-NM1,21,1,2,1,D,23.1726143074507,1,9
2404042,29,53,1-29-2024-053-NM2,22,1,2,1,A,480.123684005821,2,9
2400118,69,3,1-69-2024-003-NM1,21,1,1,1,A,7.66811372485411,8,9
2400118,69,3,1-69-2024-003-NM1,21,1,1,1,B,7.66811372485411,8,9
2400118,69,3,1-69-2024-003-NM1,21,1,2,1,C,7.66811372485411,8,9
2400118,69,3,1-69-2024-003-NM1,21,1,3,1,D,7.66811372485411,8,9
2400118,69,3,1-69-2024-003-NM1,21,1,4,1,E,7.66811372485411,8,9
2402288,81,46,1-81-2024-046-NM2,22,1,1,1,A,2408.08347527868,8,9
2402288,81,46,1-81-2024-046-NM2,22,1,2,1,E,2408.08347527868,8,9
2402288,81,46,1-81-2024-046-NM2,22,1,3,1,C,2408.08347527868,8,9
2404890,30,167,1-30-2024-167-NM2,22,1,1,1,B,814.767720370494,10,9
2404890,30,167,1-30-2024-167-NM2,22,1,1,1,C,814.767720370494,10,9
2404890,30,167,1-30-2024-167-NM2,22,1,1,1,D,814.767720370494,10,9
2402589,33,42,1-33-2024-042-NM2,22,1,2,1,A,361.093515754961,12,9
2402755,26,80,1-26-2024-080-NM1,21,1,1,1,A,25.7030205312635,10,9
2402755,26,80,1-26-2024-080-NM1,21,1,1,1,B,25.7030205312635,10,9
2402755,26,80,1-26-2024-080-NM1,21,1,1,1,C,25.7030205312635,10,9
2402755,26,80,1-26-2024-080-NM1,21,1,1,1,D,25.7030205312635,10,9
2402755,26,80,1-26-2024-080-NM1,21,1,1,1,E,25.7030205312635,10,9
2402755,26,80,1-26-2024-080-NM1,21,1,1,1,F,25.7030205312635,10,9
2402755,26,80,1-26-2024-080-NM1,21,1,2,1,H,25.7030205312635,10,9
2402755,26,80,1-26-2024-080-NM1,21,1,3,1,I,25.7030205312635,10,9
2402114,22,63,1-22-2024-063-NM2,22,1,2,1,A,82.628551642103,12,9
2400050,69,1,1-69-2024-001-NM1,21,1,1,1,A,7.66811372485411,8,9
2400050,69,1,1-69-2024-001-NM1,21,1,1,1,D,7.66811372485411,8,9
2400050,69,1,1-69-2024-001-NM1,21,1,1,1,C,7.66811372485411,8,9
2400050,69,1,1-69-2024-001-NM1,21,1,1,1,B,7.66811372485411,8,9
2400050,69,1,1-69-2024-001-NM1,21,1,1,1,E,7.66811372485411,8,9
2400050,69,1,1-69-2024-001-NM1,21,1,2,1,F,7.66811372485411,8,9
2406001,81,158,1-81-2024-158-NM2,22,1,1,2,A,1666.588526805,8,9
2406001,81,158,1-81-2024-158-NM2,22,1,2,2,B,1666.588526805,8,9
2402832,69,55,1-69-2024-055-NM1,21,1,1,1,A,7.66811372485411,8,9
2402832,69,55,1-69-2024-055-NM1,21,1,1,1,D,7.66811372485411,8,9
2402832,69,55,1-69-2024-055-NM1,21,1,1,1,E,7.66811372485411,8,9
2402832,69,55,1-69-2024-055-NM1,21,1,2,1,B,7.66811372485411,8,9
2402832,69,55,1-69-2024-055-NM1,21,1,2,1,F,7.66811372485411,8,9
2402832,69,55,1-69-2024-055-NM1,21,1,2,1,G,7.66811372485411,8,9
2402832,69,55,1-69-2024-055-NM1,21,1,3,1,C,7.66811372485411,8,9
2402832,69,55,1-69-2024-055-NM1,21,1,4,1,H,7.66811372485411,8,9
2403963,18,109,1-18-2024-109-NM2,22,1,2,1,A,178.115957125676,6,9
2401481,77,50,1-77-2024-050-NM2,22,1,2,1,A,306.910106229355,9,9
2402228,27,70,1-27-2024-070-NM2,22,1,1,1,A,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,1,1,B,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,1,1,C,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,1,1,D,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,2,1,E,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,2,1,F,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,2,1,G,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,3,1,H,30.6673615919684,3,9
2400960,57,19,1-57-2024-019-NM1,21,1,2,2,A,15.0398443849994,1,9
2402420,48,79,1-48-2024-079-NM1,21,1,2,1,A,85.8427679861707,12,9
2402420,48,79,1-48-2024-079-NM1,21,1,4,1,B,85.8427679861707,12,9
2405715,76,166,1-76-2024-166-NM1,21,1,2,2,A,85.5567201400254,3,9
2401146,20,28,1-20-2024-028-NM1,21,1,1,1,C,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,1,1,D,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,1,1,E,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,1,1,F,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,2,1,G,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,2,1,H,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,3,1,O,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,4,1,I,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,5,1,N,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,1,4,1,M,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,1,1,A,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,1,1,B,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,2,1,J,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,2,1,K,43.971490849978,11,9
2401146,20,28,1-20-2024-028-NM1,21,2,2,1,L,43.971490849978,11,9
2402769,21,56,1-21-2024-056-NM1,21,1,1,1,C,32.5426329002838,11,9
2402769,21,56,1-21-2024-056-NM1,21,1,1,1,B,32.5426329002838,11,9
2402769,21,56,1-21-2024-056-NM1,21,1,1,1,A,32.5426329002838,11,9
2402769,21,56,1-21-2024-056-NM1,21,1,1,1,D,32.5426329002838,11,9
2402769,21,56,1-21-2024-056-NM1,21,1,2,1,E,32.5426329002838,11,9
2402769,21,56,1-21-2024-056-NM1,21,1,3,1,G,32.5426329002838,11,9
2402769,21,56,1-21-2024-056-NM1,21,1,3,1,F,32.5426329002838,11,9
2402769,21,56,1-21-2024-056-NM1,21,1,4,1,H,32.5426329002838,11,9
2404100,20,107,1-20-2024-107-NM1,21,1,5,2,A,44.2957867500321,11,9
2404933,33,96,1-33-2024-096-NM2,22,1,2,1,A,151.096542186302,12,9
2402377,15,93,1-15-2024-093-NM2,22,1,2,1,A,172.627983004139,1,9
2406213,66,121,1-66-2024-121-NM2,22,1,2,1,A,110.074249285118,6,9
2406213,66,121,1-66-2024-121-NM2,22,1,3,1,B,110.074249285118,6,9
2401250,30,41,1-30-2024-041-NM1,21,1,1,1,A,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,1,1,B,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,1,1,C,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,1,1,D,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,1,1,E,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,1,1,F,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,2,1,G,28.3509494483113,10,9
2401250,30,41,1-30-2024-041-NM1,21,1,3,1,H,28.3509494483113,10,9
2405495,26,125,1-26-2024-125-NM1,21,1,2,1,A,26.2657713930828,10,9
2402933,77,98,1-77-2024-098-NM1,21,1,2,1,A,113.21347390618,9,9
2402933,77,98,1-77-2024-098-NM1,21,1,3,1,B,113.21347390618,9,9
2403858,77,129,1-77-2024-129-NM1,21,1,1,1,A,113.21347390618,9,9
2403858,77,129,1-77-2024-129-NM1,21,1,1,1,B,113.21347390618,9,9
2403858,77,129,1-77-2024-129-NM1,21,1,1,1,C,113.21347390618,9,9
2403886,24,109,1-24-2024-109-NM1,21,1,2,2,F,23.1726143074507,1,9
2405730,26,128,1-26-2024-128-NM1,21,1,3,1,C,26.5232523906936,10,9
2405730,26,128,1-26-2024-128-NM1,21,1,3,1,D,26.5232523906936,10,9
2405730,26,128,1-26-2024-128-NM1,21,1,3,1,E,26.5232523906936,10,9
2405730,26,128,1-26-2024-128-NM1,21,1,3,1,G,26.5232523906936,10,9
2405730,26,128,1-26-2024-128-NM1,21,1,3,1,J,26.5232523906936,10,9
2403886,24,109,1-24-2024-109-NM1,21,1,4,2,G,23.1726143074507,1,9
2405730,26,128,1-26-2024-128-NM1,21,1,1,1,A,26.5232523906936,10,9
2405730,26,128,1-26-2024-128-NM1,21,1,1,1,B,26.5232523906936,10,9
2405730,26,128,1-26-2024-128-NM1,21,1,1,1,H,26.5232523906936,10,9
2405730,26,128,1-26-2024-128-NM1,21,1,2,1,F,26.5232523906936,10,9
2405730,26,128,1-26-2024-128-NM1,21,1,2,1,I,26.5232523906936,10,9
2402289,81,47,1-81-2024-047-NM1,21,1,2,1,A,30.4851567966787,8,9
2402535,24,69,1-24-2024-069-NM1,21,1,1,1,A,23.1726143074507,1,9
2402535,24,69,1-24-2024-069-NM1,21,1,1,1,B,23.1726143074507,1,9
2402535,24,69,1-24-2024-069-NM1,21,1,1,1,C,23.1726143074507,1,9
2402535,24,69,1-24-2024-069-NM1,21,1,2,1,D,23.1726143074507,1,9
2402535,24,69,1-24-2024-069-NM1,21,1,2,1,F,23.1726143074507,1,9
2402535,24,69,1-24-2024-069-NM1,21,1,3,1,E,23.1726143074507,1,9
2405120,22,154,1-22-2024-154-NM2,22,1,2,1,A,64.1408737687855,12,9
2404327,16,113,1-16-2024-113-NM1,21,1,1,1,A,55.2220906582399,5,9
2404327,16,113,1-16-2024-113-NM1,21,1,2,1,B,55.2220906582399,5,9
2404327,16,113,1-16-2024-113-NM1,21,1,2,1,C,55.2220906582399,5,9
2404327,16,113,1-16-2024-113-NM1,21,1,3,1,D,55.2220906582399,5,9
2400048,60,1,1-60-2024-001-NM2,22,1,1,1,A,157.912873387776,8,9
2400048,60,1,1-60-2024-001-NM2,22,1,2,1,B,157.912873387776,8,9
2406239,57,194,1-57-2024-194-NM1,21,1,1,1,A,19.2604769426058,1,9
2406239,57,194,1-57-2024-194-NM1,21,1,1,1,B,19.2604769426058,1,9
2406239,57,194,1-57-2024-194-NM1,21,1,1,1,C,19.2604769426058,1,9
2406239,57,194,1-57-2024-194-NM1,21,1,1,1,D,19.2604769426058,1,9
2406239,57,194,1-57-2024-194-NM1,21,1,1,1,E,19.2604769426058,1,9
2406239,57,194,1-57-2024-194-NM1,21,1,2,1,F,19.2604769426058,1,9
2400683,59,24,1-59-2024-024-NM1,21,1,1,1,A,62.3822922049643,6,9
2400683,59,24,1-59-2024-024-NM1,21,1,1,1,B,62.3822922049643,6,9
2400683,59,24,1-59-2024-024-NM1,21,1,2,1,C,62.3822922049643,6,9
2403191,12,53,1-12-2024-053-NM2,22,1,1,1,A,279.612696685556,9,9
2403191,12,53,1-12-2024-053-NM2,22,1,2,1,B,279.612696685556,9,9
2404711,25,125,1-25-2024-125-NM1,21,1,1,1,A,55.4169403670828,2,9
2404711,25,125,1-25-2024-125-NM1,21,1,1,1,B,55.4169403670828,2,9
2404711,25,125,1-25-2024-125-NM1,21,1,1,1,C,55.4169403670828,2,9
2404711,25,125,1-25-2024-125-NM1,21,1,1,1,D,55.4169403670828,2,9
2404711,25,125,1-25-2024-125-NM1,21,1,2,1,E,55.4169403670828,2,9
2404711,25,125,1-25-2024-125-NM1,21,1,3,1,G,55.4169403670828,2,9
2400729,32,21,1-32-2024-021-NM1,21,1,1,1,A,10.924164677076,7,9
2400729,32,21,1-32-2024-021-NM1,21,1,2,1,B,10.924164677076,7,9
2400729,32,21,1-32-2024-021-NM1,21,1,3,1,C,10.924164677076,7,9
2400729,32,21,1-32-2024-021-NM1,21,1,4,1,D,10.924164677076,7,9
2405106,27,161,1-27-2024-161-NM2,22,1,1,1,A,35.0197990231484,3,9
2405106,27,161,1-27-2024-161-NM2,22,1,2,1,B,35.0197990231484,3,9
2405352,29,89,1-29-2024-089-NM1,21,1,1,1,B,37.5008426016573,2,9
2405352,29,89,1-29-2024-089-NM1,21,1,1,1,A,37.5008426016573,2,9
2405352,29,89,1-29-2024-089-NM1,21,1,1,1,C,37.5008426016573,2,9
2405352,29,89,1-29-2024-089-NM1,21,1,2,1,D,37.5008426016573,2,9
2401665,24,37,1-24-2024-037-NM2,22,1,1,1,A,87.1884768897586,1,9
2401665,24,37,1-24-2024-037-NM2,22,1,2,1,B,87.1884768897586,1,9
2401665,24,37,1-24-2024-037-NM2,22,1,3,1,C,87.1884768897586,1,9
2401665,24,37,1-24-2024-037-NM2,22,1,4,1,D,87.1884768897586,1,9
2402661,10,39,1-10-2024-039-NM2,22,1,2,1,A,340.440602144735,4,9
2404582,24,129,1-24-2024-129-NM1,21,1,1,1,A,23.1726143074507,1,9
2405578,32,150,1-32-2024-150-NM1,21,1,3,1,E,61.8412176679644,7,9
2405578,32,150,1-32-2024-150-NM1,21,1,3,1,F,61.8412176679644,7,9
2405578,32,150,1-32-2024-150-NM1,21,1,3,1,G,61.8412176679644,7,9
2405578,32,150,1-32-2024-150-NM1,21,1,3,1,H,61.8412176679644,7,9
