CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SPEEDPRE,SPEEDPREACC,VEHHDG,CONTPLANE,SPEEDIMP,SPEEDIMPACC,SPEEDIMPSRC,FRPDISTANCE,DRIFATIGUE,VEHLIGHTS,LIGHTSBEAM,PROPULSION,HOODMAT,HOODOEM,HOODLENGTH,HOODWIDTHFORW,HOODWIDTHMID,HOODWIDTHREAR,HOODDEPAVAIL,HOODDEPACT,HOODBAGAVAIL,HOODBAGDEPLY,FRNTCONTACT,FRNTCRUSH,FRNTWSCONTACT,FRNTBUMPCOVER,FRNTBUMPREINF,FRNTEAD,FRNTBUMPBTMHT,FRNTBUMPTOPHT,FRNTBUMPLEAD,FRNTGRHOODFORW,FRNTGRTRANS,FRNTGRHOODREAR,FRNTGRWSBASE,FRNTGRWSTOP,FRNTGRHEADCONT,FRNTPROFILE,SIDECONTACT,SIDEGRNDCLEAR,SIDEBUMPBTMHT,SIDEBUMPTOPHT,SIDEWHEELCNTR,SIDEWHEELTOP,SIDEWHEELWELL,SIDEAPILLBTM,SIDEAPILLTOP,SIDEMIRRORTOP,SIDEAPILLWSBTM,SIDEAPILLWSTOP,SIDEMIRRORCNTR,SIDEGRTRANS,SIDEGRTOHOOD,SIDEGRTOHOODCNTR,SIDEGRHEADCONT,VISIONOBSCUREDBY,DISTRACTEDBY,DRIRELATEDFACT,ROADWAYRELFACT,WEATHERRELFACT,OTHERENVFACT,TRAFINTERRUPTIONFACT,DRILLNESS,DETECTDIST,DETECTDISTACC,CALCREVEAL,CALCREVEALACC,CASEWGT,PSUSTRAT,VERSION
2402307,30,81,1-30-2024-081-NM1,21,1,40,3,310,1,40,3,1,999.9,2,99,99,1,9,9,999,999,999,999,0,0,0,0,1,2,0,1,9,9,23,50,5,75,75,190,195,285,889,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,0,9,0,0,0,0,41,5,4.2,6,70.0679338170937,10,9
2402344,16,69,1-16-2024-069-NM1,21,1,40,3,355,1,36,3,3,3.7,2,3,2,3,4,1,96,80,124,145,0,0,0,0,1,0,2,1,1,9,46,57,0,71,60,169,172,284,229,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,0,0,0,1,1,0,0,120,5,11.2,8,26.1808531062603,5,9
2402379,26,68,1-26-2024-068-NM2,22,1,6,2,70,1,6,2,3,1.4,2,0,0,1,9,9,999,999,999,999,0,0,0,0,1,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,0,0,0,0,0,0,22,5,11.8,10,401.065954850307,10,9
2402381,27,75,1-27-2024-075-NM2,22,1,999,0,280,2,999,0,0,999.9,9,99,99,1,3,1,95,148,154,148,0,0,0,0,2,0,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,28,25,63,34,69,79,109,150,124,76,68,101,162,110,225,889,0,9,1,0,0,0,0,9,888,8,99,99,58.8273813617497,3,9
2402304,30,78,1-30-2024-078-NM1,21,1,68,4,270,1,68,4,3,999.9,2,3,1,1,3,1,999,999,999,999,0,0,0,0,1,1,2,1,1,1,999,999,999,999,999,999,999,999,996,3,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,0,0,0,0,0,0,116,5,5.8,7,42.5560416047343,10,9
2402377,15,93,1-15-2024-093-NM2,22,1,999,9,90,1,999,9,0,999.9,9,99,99,9,9,9,999,999,999,999,9,9,9,9,1,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,1,9,0,0,0,0,9,9,999,9,99,99,172.627983004139,1,9
2402593,57,54,1-57-2024-054-NM2,22,1,999,0,295,1,999,0,0,999.9,9,99,99,1,4,9,999,999,999,999,9,9,0,0,1,2,2,1,9,9,999,999,999,999,999,999,999,999,999,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,9,9,0,0,0,0,0,0,999,9,99,99,570.311860030331,1,9
2402661,10,39,1-10-2024-039-NM2,22,1,10,3,250,1,10,3,1,31,2,99,99,1,9,9,999,999,999,999,0,0,0,0,1,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,0,0,0,0,0,0,10,2,3,3,340.440602144735,4,9
2402679,13,64,1-13-2024-064-NM1,21,1,999,0,0,1,999,0,0,999.9,2,99,99,1,9,9,999,999,999,999,0,0,0,0,1,3,9,9,9,9,999,999,999,999,999,999,999,999,999,3,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,0,0,0,0,0,0,999,9,99,99,52.9890988226477,7,9
2402692,69,50,1-69-2024-050-NM1,21,1,999,0,90,1,999,0,0,999.9,2,3,1,1,3,9,130,143,155,160,0,0,0,0,1,2,8,1,1,9,48,58,3,95,77,217,218,293,999,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,1,0,0,0,0,0,70,5,4.9,8,7.66811372485411,8,9
